"dataset","method","split_id","frequency","attack.angle","chord.length","free.stream.velocity","suction.side.displacement.thickness"
"airfoil","uni_loo",1,-0.000837319880270485,-0.174550699257136,-20.0442940981248,0.0476970425368626,-158.558492078526
"airfoil","uni_loo",2,-0.000860707046623564,-0.166394586747498,-17.7664513931437,0.0445200679163297,-157.387832239408
"airfoil","uni_loo",3,-0.000954752533835672,-0.184067071582041,-17.0052315144211,0.0447699855369737,-156.718230980349
"airfoil","uni_loo",4,-0.000887137598844896,-0.173044048310928,-14.0700080192383,0.0532236142624476,-160.134420133377
"airfoil","uni_loo",5,-0.000828515445911718,-0.209238611032903,-16.7834552547873,0.0597345059381603,-190.290522610072
"airfoil","uni_loo",6,-0.000851563664490027,-0.196172791108001,-18.8730677120888,0.0627106139922412,-158.058327431215
"airfoil","uni_loo",7,-0.00090973314041261,-0.236635337099081,-15.4005949195224,0.0227432773791094,-185.29735078764
"airfoil","uni_loo",8,-0.00092301330693618,-0.199035416810913,-17.1637461810176,0.047291883336575,-171.425831979337
"airfoil","uni_loo",9,-0.000864066761732824,-0.166337864583576,-18.6791307422449,0.066775738226698,-154.691396199546
"airfoil","uni_loo",10,-0.000744301426529664,-0.190995585895775,-15.6435588647054,0.0570246305962747,-164.924450018967
"airfoil","uni_loo",11,-0.000719176989639623,-0.198783901873852,-17.7932920414978,0.0725114884586895,-168.322195629393
"airfoil","uni_loo",12,-0.000932374996448567,-0.206811667293441,-15.6532194153813,0.0482741718129947,-188.864943524681
"airfoil","uni_loo",13,-0.000892047286852634,-0.241615413263548,-14.6438336612806,0.0555806494009981,-174.030858900834
"airfoil","uni_loo",14,-0.000851406482687488,-0.159710771099677,-15.0255026724969,0.0447904191141596,-153.775972277084
"airfoil","uni_loo",15,-0.000756088336105072,-0.168240547006082,-17.5731251522203,0.0478088795226793,-163.536377791887
"airfoil","uni_loo",16,-0.000884130264007666,-0.128684398433159,-16.5618871326003,0.0358297325524413,-137.853102438345
"airfoil","uni_loo",17,-0.000838050262551172,-0.181291264102572,-17.441178683686,0.0388090967133221,-171.515849470973
"airfoil","uni_loo",18,-0.000850147031265529,-0.1718610695867,-17.3426879006978,0.0523710752268481,-164.640876918415
"airfoil","uni_loo",19,-0.000783274099004559,-0.200857275573971,-16.0549031124188,0.0565026761892144,-158.081042300467
"airfoil","uni_loo",20,-0.000868176858441665,-0.180569431798211,-17.4333422554899,0.0784319919987729,-154.833490695059
