"dataset","method","split_id","theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8"
"kin8nm","uni_loo",1,-0.0430319578490331,-0.0226302626678247,-0.148512236192418,-0.0272066602243082,0.068825893491323,-0.0453878051326333,-0.0329548472132888,0.0147601723349984
"kin8nm","uni_loo",2,-0.0434005707946885,-0.0209677928548283,-0.153333593211922,-0.0289688754653449,0.0721388825138387,-0.0404916089216008,-0.038260868402521,0.0206755725999773
"kin8nm","uni_loo",3,-0.0369915412476738,-0.021821319794571,-0.151844467005849,-0.0248003015638099,0.0702997002628757,-0.0366135858526173,-0.0314962609710008,0.0254523257023984
"kin8nm","uni_loo",4,-0.0361350905073127,-0.0258381326677353,-0.154969200875635,-0.023582182543129,0.0662785962467385,-0.0397071430388074,-0.039144233353914,0.0192258155440265
"kin8nm","uni_loo",5,-0.0412314805762353,-0.0224820728935082,-0.156767241625124,-0.0241910350024141,0.0723704323150684,-0.0361549298818647,-0.0441607313244288,0.0132541513147863
"kin8nm","uni_loo",6,-0.0423810581345402,-0.0261743296957327,-0.154109822691809,-0.0262173908406919,0.0706595463670347,-0.0376737929418851,-0.0408764091823318,0.0255708704728819
"kin8nm","uni_loo",7,-0.0455365550892933,-0.018793320495443,-0.154083457078865,-0.0232040916681052,0.0710886088376545,-0.042036862829472,-0.0509017533154889,0.0200860747623935
"kin8nm","uni_loo",8,-0.0417149849885,-0.0257943728263587,-0.156071000170341,-0.0293194751002308,0.0636283965225271,-0.0395630600079495,-0.0428649114739438,0.0241110197149664
"kin8nm","uni_loo",9,-0.0471042464489608,-0.0197875879876627,-0.15232017480701,-0.0203869491656056,0.0719870468278525,-0.0402272487846014,-0.0334940426293206,0.0218816672938631
"kin8nm","uni_loo",10,-0.0436411774090056,-0.0194952295502705,-0.148407243831164,-0.0281627946990177,0.0743777615087563,-0.038246545803823,-0.0351580041030806,0.0249338511592367
"kin8nm","uni_loo",11,-0.0445282960092183,-0.021531414751318,-0.150145372211442,-0.0291648977607696,0.0645415355280084,-0.0358027917582921,-0.0386992410964447,0.0222724111344209
"kin8nm","uni_loo",12,-0.0369547490916966,-0.0170492758324944,-0.148965347795517,-0.0226213508582702,0.075394382600817,-0.0380672972169745,-0.0332021887188173,0.0246560696922406
"kin8nm","uni_loo",13,-0.0405045677419893,-0.0237126851126381,-0.158866199604073,-0.0257593875721735,0.0730555024111944,-0.0474023377876821,-0.0440450267950631,0.020811929729952
"kin8nm","uni_loo",14,-0.0422674680887771,-0.0285203174049088,-0.153972546381981,-0.0245625757166508,0.0683775174454887,-0.0478728723530989,-0.0399969765315671,0.0229416441506601
"kin8nm","uni_loo",15,-0.0413736936739691,-0.0238025981114541,-0.151826509051067,-0.0257467184920202,0.0664939375345437,-0.0433364684132254,-0.0425273852464825,0.0272397632437599
"kin8nm","uni_loo",16,-0.0434660645228951,-0.0227487663728319,-0.153226551417449,-0.025531042335863,0.0689826657769727,-0.0436868989473916,-0.0392175722358617,0.017855363672083
"kin8nm","uni_loo",17,-0.044808549281928,-0.0205521544502834,-0.153365331273604,-0.0225845905748335,0.0716629905786994,-0.0449407825080292,-0.0366005454493315,0.0215166361849516
"kin8nm","uni_loo",18,-0.043826202463653,-0.0232337989940343,-0.154678912736607,-0.024807541510685,0.0708966232269062,-0.0372678472579996,-0.0391873078572795,0.0219134103456342
"kin8nm","uni_loo",19,-0.0405341996098423,-0.0303246900729878,-0.151234843665888,-0.0234422601504521,0.0710131112673119,-0.039336821405265,-0.0307416050634005,0.022976736133514
"kin8nm","uni_loo",20,-0.0391171312708096,-0.0207197871734184,-0.14939187311989,-0.0252174628504565,0.0680381761122834,-0.0411125477911199,-0.0339955405349646,0.0243555222152726
"kin8nm","uni_loo",21,-0.048929273096048,-0.0195477544808581,-0.157070346874651,-0.0286362327833293,0.0727521954114529,-0.0428490020585831,-0.0366274585508692,0.0213913706507053
"kin8nm","uni_loo",22,-0.0366598750672251,-0.0248928177512901,-0.155442775953884,-0.0298846649034083,0.0745842572084815,-0.0392997663507289,-0.0422301691236973,0.0323347676067756
"kin8nm","uni_loo",23,-0.0367635583384154,-0.0225148863431419,-0.154822372977182,-0.0207173899702496,0.0739151630505497,-0.0366992743773545,-0.0392685892746406,0.0266199076219066
