"dataset","method","split_id","AT","V","AP","RH"
"powerplant","uni_loo",1,-2.1530332992675,-1.16083416847538,1.50543985429333,0.453338878471077
"powerplant","uni_loo",2,-2.16473205961492,-1.1708173512652,1.47115903317495,0.452637600770647
"powerplant","uni_loo",3,-2.1708948708016,-1.16964711905516,1.51393780512685,0.458258465483366
"powerplant","uni_loo",4,-2.16956769373175,-1.15958677889245,1.47893638641704,0.460748586685466
"powerplant","uni_loo",5,-2.17649585721437,-1.17190162392092,1.49258761251176,0.438106935273634
"powerplant","uni_loo",6,-2.16825684411329,-1.15825581592116,1.50748274435696,0.462181173921484
"powerplant","uni_loo",7,-2.1737089117152,-1.1735899573611,1.49890328351784,0.473143050911
"powerplant","uni_loo",8,-2.16505610070121,-1.16111024069092,1.49014423647044,0.442251181827984
"powerplant","uni_loo",9,-2.15828714463479,-1.16972861011267,1.49972700849564,0.472814354427316
"powerplant","uni_loo",10,-2.18418871386632,-1.16905736450551,1.54994626718023,0.453573962438267
"powerplant","uni_loo",11,-2.16957804526811,-1.16397979977133,1.48352861049755,0.464530590145035
"powerplant","uni_loo",12,-2.16029447589971,-1.1689547850944,1.5290070491802,0.459293793657603
"powerplant","uni_loo",13,-2.16803119989339,-1.17101091176259,1.45680256637432,0.441690799590632
"powerplant","uni_loo",14,-2.16681651219638,-1.16520003562811,1.44129925289314,0.451775542808434
"powerplant","uni_loo",15,-2.1674499606492,-1.16225489342008,1.52744670063874,0.441410883253952
"powerplant","uni_loo",16,-2.1682130146841,-1.16636750066499,1.52575333320474,0.455837816871304
"powerplant","uni_loo",17,-2.18634935234362,-1.18567265409633,1.52064629893105,0.467867207968409
"powerplant","uni_loo",18,-2.174098411424,-1.1733977699379,1.48541415451627,0.457157575428515
"powerplant","uni_loo",19,-2.16303823792425,-1.16108729476041,1.44389596633235,0.453031846470306
"powerplant","uni_loo",20,-2.17583001058869,-1.15993526225532,1.47374508611684,0.455632013195832
"powerplant","uni_loo",21,-2.16175272323288,-1.16925970008445,1.46861796925993,0.455529272660829
"powerplant","uni_loo",22,-2.15909450399311,-1.16839146712927,1.48900730061217,0.443963587810131
"powerplant","uni_loo",23,-2.1645057165029,-1.16098134733763,1.48691439091864,0.456284028384918
"powerplant","uni_loo",24,-2.16054367277598,-1.16141096321521,1.51265415894545,0.460799548481121
"powerplant","uni_loo",25,-2.18081772873509,-1.16816365554392,1.49656163683396,0.455406342807369
"powerplant","uni_loo",26,-2.16157801241675,-1.15617025257207,1.47494768859133,0.446826575088184
"powerplant","uni_loo",27,-2.16779148692556,-1.16032377160624,1.44315991819855,0.449037378910351
"powerplant","uni_loo",28,-2.15949037406593,-1.16153800202874,1.43483827666699,0.45640108931657
"powerplant","uni_loo",29,-2.15811768704364,-1.16099125595951,1.47758712697321,0.459801401427333
"powerplant","uni_loo",30,-2.16983743293902,-1.1691167419249,1.52694645545824,0.467755113081601
"powerplant","uni_loo",31,-2.166996220373,-1.16724440136711,1.43589860470838,0.463215449449155
"powerplant","uni_loo",32,-2.17349796591701,-1.17938552836918,1.48034612956848,0.476735688970164
"powerplant","uni_loo",33,-2.1739072375504,-1.15775623803153,1.48141153031948,0.459357148274916
"powerplant","uni_loo",34,-2.17451320201527,-1.16373825201587,1.54856408086266,0.461066038817083
"powerplant","uni_loo",35,-2.17203683249654,-1.16916782552852,1.50373411113286,0.455549570901454
"powerplant","uni_loo",36,-2.16833907571144,-1.1712304136222,1.52077757982695,0.453369260713277
"powerplant","uni_loo",37,-2.18131508990622,-1.18052387030881,1.45287096613917,0.459185278024454
"powerplant","uni_loo",38,-2.17347288859743,-1.17655243966091,1.51732131059938,0.451025743474301
"powerplant","uni_loo",39,-2.17150817883578,-1.17330854499793,1.50389809674959,0.442936120800693
"powerplant","uni_loo",40,-2.161139770336,-1.16765829494394,1.48078679934836,0.463285313849349
"powerplant","uni_loo",41,-2.17562420391136,-1.18018651223835,1.54889783902006,0.465668177362701
"powerplant","uni_loo",42,-2.17382702045434,-1.16893964482935,1.47954897891759,0.475477412513998
"powerplant","uni_loo",43,-2.17744001739616,-1.17125073951197,1.48821214041924,0.461120092410019
"powerplant","uni_loo",44,-2.17303577196205,-1.17000107182226,1.46740792826197,0.471988238263855
"powerplant","uni_loo",45,-2.16585967080196,-1.17326300538072,1.49465965572409,0.466582846800305
"powerplant","uni_loo",46,-2.17575136689872,-1.17881929914093,1.49671530710287,0.457012956578401
"powerplant","uni_loo",47,-2.18175805615549,-1.16537090295266,1.52123843546938,0.443874272352742
"powerplant","uni_loo",48,-2.17565217425477,-1.17161067311307,1.50615616854464,0.453478721224816
"powerplant","uni_loo",49,-2.16186500622064,-1.16938092651702,1.47569909770825,0.452630374210997
"powerplant","uni_loo",50,-2.16327448989071,-1.159874088475,1.51012523231798,0.441310341721642
"powerplant","uni_loo",51,-2.15505438321013,-1.15632378625914,1.50900603213199,0.447883653615412
"powerplant","uni_loo",52,-2.17688724300144,-1.16994523553628,1.51127031749122,0.447162707344292
"powerplant","uni_loo",53,-2.18524419994834,-1.17407576478768,1.47924232601757,0.463426109716658
"powerplant","uni_loo",54,-2.15893180494365,-1.16203763720814,1.50763349751552,0.46339060586264
"powerplant","uni_loo",55,-2.17019669953116,-1.17056270313334,1.45530492333418,0.452765793899151
"powerplant","uni_loo",56,-2.17468696732265,-1.17081515481528,1.48929089926174,0.448433746743059
"powerplant","uni_loo",57,-2.1651468200123,-1.17253643961774,1.49487817665055,0.447199282589598
"powerplant","uni_loo",58,-2.17674309767506,-1.16779045742923,1.47354699560257,0.467881321614714
"powerplant","uni_loo",59,-2.17172068679103,-1.17435779371531,1.46687578012865,0.464806705195608
"powerplant","uni_loo",60,-2.16642732542271,-1.16854356588173,1.52059226869952,0.455190003290114
"powerplant","uni_loo",61,-2.18288297874046,-1.16556444329761,1.47402032119288,0.451283122532148
"powerplant","uni_loo",62,-2.16981031142322,-1.16185446395282,1.54126213373563,0.450123959246297
"powerplant","uni_loo",63,-2.17753590726858,-1.16880561524512,1.51953228332398,0.473851620219862
"powerplant","uni_loo",64,-2.17357510535555,-1.1731250665349,1.49663931167188,0.468809500080129
"powerplant","uni_loo",65,-2.16747774417923,-1.17103402605507,1.4606959358691,0.46677507692729
"powerplant","uni_loo",66,-2.15722393472599,-1.16492600214863,1.48994280036741,0.453891285270363
"powerplant","uni_loo",67,-2.16412080779104,-1.15438347069934,1.46629942692928,0.452097631007563
"powerplant","uni_loo",68,-2.15680398054131,-1.15864765628125,1.48574995507704,0.447333695610773
"powerplant","uni_loo",69,-2.17037032798007,-1.15032334763443,1.51077761777637,0.436033014893147
"powerplant","uni_loo",70,-2.17050888514474,-1.15921492075651,1.49803148208489,0.464953460269058
"powerplant","uni_loo",71,-2.17458537274531,-1.16963740023382,1.46184338912773,0.45361586129424
"powerplant","uni_loo",72,-2.17065257432647,-1.17112581587115,1.45564001042378,0.453589595437848
"powerplant","uni_loo",73,-2.17217947932737,-1.16540899117568,1.4835394100954,0.462861414922794
"powerplant","uni_loo",74,-2.18133736487563,-1.17437532994059,1.52921362219918,0.444324680672488
"powerplant","uni_loo",75,-2.17075494211741,-1.16205467332908,1.43459916552644,0.463700429519715
"powerplant","uni_loo",76,-2.16914041724354,-1.16365508222119,1.53234250128577,0.445710605537283
"powerplant","uni_loo",77,-2.1807639469295,-1.17243579148614,1.47216008641684,0.460004352332516
"powerplant","uni_loo",78,-2.16820170246321,-1.16993496460171,1.48277485710961,0.471069526601159
"powerplant","uni_loo",79,-2.15875413843119,-1.16346039718237,1.4667365662592,0.469118931100482
"powerplant","uni_loo",80,-2.16790064459503,-1.17582693002039,1.45952941819368,0.462800924529983
"powerplant","uni_loo",81,-2.17658980088901,-1.17637792026833,1.48853638347592,0.455639852337328
"powerplant","uni_loo",82,-2.16636096764164,-1.16540769131756,1.48976495907195,0.461049147211112
"powerplant","uni_loo",83,-2.17003698651628,-1.17378721293459,1.47510304757147,0.440307244007343
