"dataset","method","split_id","DateTime","Temperature","Humidity","Wind.Speed","general.diffuse.flows","diffuse.flows"
"power_consumption_of_tetouan_city","uni_loo",1,0.108751999965806,536.196012096723,-130.721148119082,490.910281215881,4.97343556945724,4.54964322645571
"power_consumption_of_tetouan_city","uni_loo",2,0.110031267982433,544.383875207895,-133.201647400591,533.283114699541,5.11733359707327,4.64885235717692
"power_consumption_of_tetouan_city","uni_loo",3,0.110732888559101,537.391979683121,-130.432083463617,513.993170563945,5.11022463451748,4.73265901354958
"power_consumption_of_tetouan_city","uni_loo",4,0.111107003299797,542.075367969522,-132.010458738695,511.775005443704,5.01410158705409,4.58327489977533
"power_consumption_of_tetouan_city","uni_loo",5,0.10879843163273,536.912739247116,-132.745840875889,512.564025857419,5.02667226997956,4.35773810799667
"power_consumption_of_tetouan_city","uni_loo",6,0.105121695843437,538.704484390815,-129.919216209817,490.224280078732,5.03690202044407,4.51373015879387
"power_consumption_of_tetouan_city","uni_loo",7,0.107575408988679,539.370774390235,-134.623136945324,490.706409216777,5.14994725393873,4.95373900809665
"power_consumption_of_tetouan_city","uni_loo",8,0.107811431451613,538.090423953515,-133.222351367484,512.635790565697,4.91528410842234,4.55084920238141
"power_consumption_of_tetouan_city","uni_loo",9,0.110076999849633,542.511878978229,-132.24349485522,490.006019928658,5.14283359677705,4.7165438363506
"power_consumption_of_tetouan_city","uni_loo",10,0.109470337883797,543.731115165866,-132.606519329861,505.181708177562,5.16924567197062,4.88110781051116
"power_consumption_of_tetouan_city","uni_loo",11,0.108140372915601,535.9270535614,-131.659695369671,501.315568107586,4.86773904187008,4.39278272855045
"power_consumption_of_tetouan_city","uni_loo",12,0.112419929378118,545.417979287696,-131.206346847925,520.097516904825,5.06308528812657,4.58015462587964
"power_consumption_of_tetouan_city","uni_loo",13,0.107192890766022,531.921196511535,-130.033179729323,491.414671199436,4.98200807537197,4.33826168606139
"power_consumption_of_tetouan_city","uni_loo",14,0.111066510255235,544.997186503534,-132.805968994265,506.213719449069,5.09204184879987,4.50166998444317
"power_consumption_of_tetouan_city","uni_loo",15,0.11271480919258,546.24848834279,-132.669796415744,541.573356555288,4.99074646728733,4.44190001093387
"power_consumption_of_tetouan_city","uni_loo",16,0.111157551418475,541.183369044719,-131.380074172595,506.34368664217,5.19548464610326,4.75466002335589
"power_consumption_of_tetouan_city","uni_loo",17,0.110468958332279,540.615177499427,-133.54523061687,498.813640405309,5.07483552162413,4.48583585253994
"power_consumption_of_tetouan_city","uni_loo",18,0.107488899714002,532.635721624127,-133.067835821356,473.745880805605,5.23069862626493,4.78409894910522
"power_consumption_of_tetouan_city","uni_loo",19,0.110600539269138,542.417015616962,-130.206003460944,523.985995075318,5.10530793755753,4.50345711652089
"power_consumption_of_tetouan_city","uni_loo",20,0.110719889487946,541.746476637139,-131.590227856234,508.924108074083,5.16645148449211,4.64044538677031
"power_consumption_of_tetouan_city","uni_loo",21,0.109228408962892,544.404890749805,-132.819259316754,521.30222859487,4.94897347747759,4.68396094351605
"power_consumption_of_tetouan_city","uni_loo",22,0.108028935641342,537.090985504788,-134.044787699704,508.976054592752,5.21049500581841,4.6370712629623
"power_consumption_of_tetouan_city","uni_loo",23,0.109023215839354,536.894229587547,-131.724622000167,518.276604432245,5.12270806314154,4.69159324548852
"power_consumption_of_tetouan_city","uni_loo",24,0.108584042547419,540.536126998635,-134.010332359892,512.010053690968,4.89602825566143,4.23273435605197
"power_consumption_of_tetouan_city","uni_loo",25,0.109541176013652,547.096937112364,-134.191746393595,518.268730484121,5.02382650391169,4.39292407361177
"power_consumption_of_tetouan_city","uni_loo",26,0.108769937859477,538.359174847586,-132.583227754854,504.613849770219,5.0335285875947,4.62021051071514
"power_consumption_of_tetouan_city","uni_loo",27,0.111229468983704,546.738327121599,-135.693005470868,499.986897388937,5.08609832775914,4.68203988238474
"power_consumption_of_tetouan_city","uni_loo",28,0.111067024418426,544.673693820274,-133.315910399847,507.644957060516,5.19582871632746,4.85479997254672
"power_consumption_of_tetouan_city","uni_loo",29,0.107970072534111,538.397627353133,-132.370742056954,544.333213401313,5.16286372113576,4.78299619331424
"power_consumption_of_tetouan_city","uni_loo",30,0.110172245504106,540.769634468645,-131.805664026236,496.695317716796,5.12161242995873,4.71846485818006
"power_consumption_of_tetouan_city","uni_loo",31,0.108121360893508,539.924803586499,-131.419438579313,507.555736156262,5.05268568878254,4.61763391550273
"power_consumption_of_tetouan_city","uni_loo",32,0.108962811986209,541.623907152383,-130.182260813487,498.798490542949,5.11832489463972,4.57317493653081
"power_consumption_of_tetouan_city","uni_loo",33,0.110368978749614,537.195433339159,-132.773274463519,503.90460013972,5.05719543957288,4.41541041589689
"power_consumption_of_tetouan_city","uni_loo",34,0.109318005445109,540.218488615849,-128.453570651979,497.715857474887,4.94581604383413,4.58477620988363
"power_consumption_of_tetouan_city","uni_loo",35,0.109941638058597,543.184349467899,-128.881766739939,510.865959131552,5.07090787094276,4.60138643009795
"power_consumption_of_tetouan_city","uni_loo",36,0.112379766443091,542.592787578691,-130.886377418397,511.909514110335,5.07830738717202,4.71862203371098
"power_consumption_of_tetouan_city","uni_loo",37,0.112165097829855,542.470669595984,-131.959587647371,516.964809629817,5.105138616607,4.58372999166291
"power_consumption_of_tetouan_city","uni_loo",38,0.108553576800775,542.875374712141,-131.725175819348,489.962487715452,5.06558470022842,4.93163940881148
"power_consumption_of_tetouan_city","uni_loo",39,0.111633372422793,538.946541670995,-130.423527332378,507.738181573773,5.07942513141811,4.62864286046269
"power_consumption_of_tetouan_city","uni_loo",40,0.108310949672369,539.000968571702,-132.008878887003,504.905764948629,5.15535937532904,4.630868459889
"power_consumption_of_tetouan_city","uni_loo",41,0.108631991065438,536.778947007805,-131.483131982652,491.736989886246,4.87232218099576,4.48282700632424
"power_consumption_of_tetouan_city","uni_loo",42,0.107103375704512,536.568514964106,-130.463394851578,499.99089049921,5.06778223182059,4.5390008777657
"power_consumption_of_tetouan_city","uni_loo",43,0.108200310386137,535.990430262633,-132.148814386534,496.437702639638,4.99067579156428,4.49036713868014
