"dataset","method","mean_stability","sd_stability","min_stability","max_stability","n_pairs"
"airfoil","uni_loo",1,0,1,1,4950
"airfoil","uniLasso",1,0,1,1,4950
"airfoil","unilasso_loo_false",1,0,1,1,4950
"airfoil","Polish",1,0,1,1,4950
"airfoil","Lasso",1,0,1,1,4950
"airfoil","uniReg",1,0,1,1,4950
"airfoil","LS",1,0,1,1,4950
"ca_housing","uni_loo",1,0,1,1,4950
"ca_housing","uniLasso",0.997142857142857,0.020002020508163,0.857142857142857,1,4950
"ca_housing","unilasso_loo_false",0.997142857142857,0.020002020508163,0.857142857142857,1,4950
"ca_housing","Polish",0.976789321789322,0.0542384670636148,0.75,1,4950
"ca_housing","Lasso",1,0,1,1,4950
"ca_housing","uniReg",0.997142857142857,0.020002020508163,0.857142857142857,1,4950
"ca_housing","LS",1,0,1,1,4950
"computer","uni_loo",1,0,1,1,4950
"computer","uniLasso",0.881247171459293,0.0814338943964722,0.615384615384615,1,4950
"computer","unilasso_loo_false",0.879282078191169,0.0815522497864318,0.615384615384615,1,4950
"computer","Polish",0.856229905090375,0.0834008162806169,0.555555555555556,1,4950
"computer","Lasso",1,0,1,1,4950
"computer","uniReg",0.881247171459293,0.0814338943964722,0.615384615384615,1,4950
"computer","LS",1,0,1,1,4950
"concrete","uni_loo",1,0,1,1,4950
"concrete","uniLasso",0.954545454545455,0.067651595622034,0.714285714285714,1,4950
"concrete","unilasso_loo_false",0.986291486291486,0.0420807971547374,0.857142857142857,1,4950
"concrete","Polish",0.947842712842713,0.0675561358225292,0.75,1,4950
"concrete","Lasso",0.891973304473304,0.122474639811731,0.625,1,4950
"concrete","uniReg",0.954545454545455,0.067651595622034,0.714285714285714,1,4950
"concrete","LS",1,0,1,1,4950
"debutanizer","uni_loo",1,0,1,1,4950
"debutanizer","uniLasso",0.992080808080808,0.0390055399041511,0.8,1,4950
"debutanizer","unilasso_loo_false",0.985478595478596,0.0595127095169451,0.714285714285714,1,4950
"debutanizer","Polish",0.88979316979317,0.102850075860109,0.714285714285714,1,4950
"debutanizer","Lasso",0.945887445887446,0.0693048822042463,0.857142857142857,1,4950
"debutanizer","uniReg",0.992080808080808,0.0390055399041511,0.8,1,4950
"debutanizer","LS",1,0,1,1,4950
"diamond","uni_loo",1,0,1,1,4950
"diamond","uniLasso",0.76176430976431,0.202269532812285,0.2,1,4950
"diamond","unilasso_loo_false",0.767074074074074,0.19575976496354,0.2,1,4950
"diamond","Polish",0.976284584980237,0.0290644006809635,0.91304347826087,1,4950
"diamond","Lasso",0.971546292969218,0.0291217400434834,0.91304347826087,1,4950
"diamond","uniReg",0.744905723905724,0.161811573844587,0.2,1,4950
"diamond","LS",1,0,1,1,4950
"elevator","uni_loo",0.964555357496534,0.0381276297315403,0.888888888888889,1,4950
"elevator","uniLasso",0.801061320273441,0.222896704741874,0,1,4950
"elevator","unilasso_loo_false",0.824358888025555,0.106899766556755,0.538461538461538,1,4950
"elevator","Polish",0.839904243904244,0.221631081832632,0,1,4950
"elevator","Lasso",0.938914141414141,0.0624903120559408,0.875,1,4950
"elevator","uniReg",0.799845627997143,0.221734051689921,0,1,4950
"elevator","LS",0.93800742721331,0.0465195678651243,0.823529411764706,1,4950
"energy_efficiency","uni_loo",1,0,1,1,4950
"energy_efficiency","uniLasso",0.882760942760943,0.126817661952306,0.6,1,4950
"energy_efficiency","unilasso_loo_false",0.848872053872054,0.145499179757878,0.5,1,4950
"energy_efficiency","Polish",0.892021324354658,0.175954205192264,0.4,1,4950
"energy_efficiency","Lasso",1,0,1,1,4950
"energy_efficiency","uniReg",0.882760942760943,0.126817661952306,0.6,1,4950
"energy_efficiency","LS",1,0,1,1,4950
"insurance","uni_loo",1,0,1,1,4950
"insurance","uniLasso",0.858251082251082,0.136478600539079,0.5,1,4950
"insurance","unilasso_loo_false",0.820421356421356,0.13661114029653,0.5,1,4950
"insurance","Polish",0.838251563251563,0.151854319719949,0.428571428571429,1,4950
"insurance","Lasso",0.727012987012987,0.152064914724317,0.5,1,4950
"insurance","uniReg",0.858890812890813,0.136433885733567,0.5,1,4950
"insurance","LS",1,0,1,1,4950
"kin8nm","uni_loo",1,0,1,1,4950
"kin8nm","uniLasso",1,0,1,1,4950
"kin8nm","unilasso_loo_false",1,0,1,1,4950
"kin8nm","Polish",1,0,1,1,4950
"kin8nm","Lasso",1,0,1,1,4950
"kin8nm","uniReg",1,0,1,1,4950
"kin8nm","LS",1,0,1,1,4950
"miami_housing","uni_loo",1,0,1,1,4950
"miami_housing","uniLasso",0.913468311301129,0.0643582655998442,0.684210526315789,1,4950
"miami_housing","unilasso_loo_false",0.846869683752224,0.0832177069204758,0.619047619047619,1,4950
"miami_housing","Polish",0.918716248434515,0.0582868093026852,0.714285714285714,1,4950
"miami_housing","Lasso",0.981616161616162,0.0412919804032418,0.888888888888889,1,4950
"miami_housing","uniReg",0.914502675410054,0.0635949597164944,0.684210526315789,1,4950
"miami_housing","LS",1,0,1,1,4950
"naval_propulsion","uni_loo",1,0,1,1,4950
"naval_propulsion","uniLasso",0.988917748917749,0.0382185494140339,0.857142857142857,1,4950
"naval_propulsion","unilasso_loo_false",0.988917748917749,0.0382185494140339,0.857142857142857,1,4950
"naval_propulsion","Polish",0.963195592286501,0.0465589002636839,0.833333333333333,1,4950
"naval_propulsion","Lasso",1,0,1,1,4950
"naval_propulsion","uniReg",0.932586250284135,0.0857214766149739,0.611111111111111,1,4950
"naval_propulsion","LS",1,0,1,1,4950
"parkinsons","uni_loo",1,0,1,1,4950
"parkinsons","uniLasso",0.996666666666667,0.0233356905928568,0.833333333333333,1,4950
"parkinsons","unilasso_loo_false",0.996666666666667,0.0233356905928568,0.833333333333333,1,4950
"parkinsons","Polish",0.867411175475347,0.0901284628674347,0.5625,1,4950
"parkinsons","Lasso",0.880259361289664,0.0857982739803692,0.6,1,4950
"parkinsons","uniReg",0.996666666666667,0.0233356905928568,0.833333333333333,1,4950
"parkinsons","LS",1,0,1,1,4950
"powerplant","uni_loo",1,0,1,1,4950
"powerplant","uniLasso",1,0,1,1,4950
"powerplant","unilasso_loo_false",1,0,1,1,4950
"powerplant","Polish",1,0,1,1,4950
"powerplant","Lasso",1,0,1,1,4950
"powerplant","uniReg",1,0,1,1,4950
"powerplant","LS",1,0,1,1,4950
"protein_structure","uni_loo",1,0,1,1,4950
"protein_structure","uniLasso",0.715114478114478,0.159372278876607,0.333333333333333,1,4950
"protein_structure","unilasso_loo_false",0.739575757575758,0.159816733869006,0.333333333333333,1,4950
"protein_structure","Polish",0.759784752284752,0.138763263817342,0.375,1,4950
"protein_structure","Lasso",0.946926406926407,0.0742183495803693,0.714285714285714,1,4950
"protein_structure","uniReg",0.711138047138047,0.157366170888067,0.333333333333333,1,4950
"protein_structure","LS",1,0,1,1,4950
"qsar","uni_loo",1,0,1,1,4950
"qsar","uniLasso",0.613436840702316,0.0271816272740958,0.524886877828054,0.708520179372197,4950
"qsar","unilasso_loo_false",0.635046293943635,0.0267494912902595,0.527439024390244,0.721476510067114,4950
"qsar","Polish",0.582943551372958,0.0396703829683687,0.441095890410959,0.709876543209877,4950
"qsar","Lasso",0.654975520714327,0.0230897317937102,0.573732718894009,0.740740740740741,4950
"qsar","uniReg",0.613530165827264,0.0271149043724396,0.524886877828054,0.708520179372197,4950
"qsar","LS",1,0,1,1,4950
"superconductor","uni_loo",1,0,1,1,4950
"superconductor","uniLasso",0.969286327325543,0.0317108142337561,0.888888888888889,1,4950
"superconductor","unilasso_loo_false",0.958575816645992,0.0372956680603086,0.842105263157895,1,4950
"superconductor","Polish",0.967782768107953,0.0205903146650264,0.88135593220339,1,4950
"superconductor","Lasso",0.940984578725889,0.0310574222516976,0.857142857142857,1,4950
"superconductor","uniReg",0.952003113348831,0.0401817282854877,0.8,1,4950
"superconductor","LS",1,0,1,1,4950
