"dataset","method","mean_stability","sd_stability","min_stability","max_stability","n_pairs"
"appliances_energy_prediction","uniLasso",0.813282864161652,0.102115523519048,0.5,1,4950
"appliances_energy_prediction","Polish",0.8479509177691,0.0913810143150628,0.533333333333333,1,4950
"appliances_energy_prediction","Lasso",0.891602657532126,0.0489996082260498,0.703703703703704,1,4950
"appliances_energy_prediction","uniReg",0.812377893711227,0.102988219990236,0.5,1,4950
"appliances_energy_prediction","LS",1,0,1,1,4950
"auto_mpg","uniLasso",0.719690235690236,0.161216444862946,0.333333333333333,1,4950
"auto_mpg","Polish",0.679371813371813,0.165476908234533,0.285714285714286,1,4950
"auto_mpg","Lasso",0.785882154882155,0.341380045478318,0.166666666666667,1,4950
"auto_mpg","uniReg",0.719690235690236,0.161216444862946,0.333333333333333,1,4950
"auto_mpg","LS",1,0,1,1,4950
"automobile","uniLasso",0.700549157352188,0.168777088609621,0.307692307692308,1,4950
"automobile","Polish",0.539585585202482,0.19927799251612,0.2,1,4950
"automobile","Lasso",0.706682429806245,0.101726934427153,0.4,1,4950
"automobile","uniReg",0.706149482391907,0.168660246415205,0.307692307692308,1,4950
"automobile","LS",0.994739393939394,0.0135198813975943,0.96,1,4950
"beijing_pm2.5","uniLasso",1,0,1,1,4950
"beijing_pm2.5","Polish",0.947255382103867,0.0625655087513227,0.727272727272727,1,4950
"beijing_pm2.5","Lasso",0.966501377410468,0.0438584109259238,0.909090909090909,1,4950
"beijing_pm2.5","uniReg",1,0,1,1,4950
"beijing_pm2.5","LS",1,0,1,1,4950
"bike_sharing","uniLasso",0.872125638671093,0.0819251008475121,0.583333333333333,1,4950
"bike_sharing","Polish",0.876320336229427,0.0807681218680771,0.583333333333333,1,4950
"bike_sharing","Lasso",0.917434343434343,0.0708032894742607,0.8,1,4950
"bike_sharing","uniReg",0.872125638671093,0.0819251008475121,0.583333333333333,1,4950
"bike_sharing","LS",1,0,1,1,4950
"communities_and_crime_unnormalized","uniLasso",0.374844537595796,0.171875657584005,0.0588235294117647,1,4950
"communities_and_crime_unnormalized","Polish",0.39439498030766,0.168663455211287,0.0625,1,4950
"communities_and_crime_unnormalized","Lasso",0.902024939146151,0.27021059142861,0.111111111111111,1,4950
"communities_and_crime_unnormalized","uniReg",0.368554476401355,0.175084142806523,0.0357142857142857,1,4950
"communities_and_crime_unnormalized","LS",1,0,1,1,4950
"communities_and_crime","uniLasso",0.521449306762528,0.079142759974816,0.228571428571429,0.821428571428571,4950
"communities_and_crime","Polish",0.511358834430231,0.0791440440539706,0.228571428571429,0.821428571428571,4950
"communities_and_crime","Lasso",0.70624228729367,0.0567389689766655,0.489795918367347,0.926829268292683,4950
"communities_and_crime","uniReg",0.520395754873065,0.0798571479154922,0.228571428571429,0.821428571428571,4950
