"dataset","method","mean_stability","sd_stability","min_stability","max_stability","n_pairs"
"ca_housing","uniLasso",0.997142857142857,0.020002020508163,0.857142857142857,1,4950
"ca_housing","Polish",0.976789321789322,0.0542384670636148,0.75,1,4950
"ca_housing","Lasso",0.9975,0.0175017679446426,0.875,1,4950
"ca_housing","uniReg",0.997142857142857,0.020002020508163,0.857142857142857,1,4950
"ca_housing","LS",1,0,1,1,4950
"computer","uniLasso",0.882391553452159,0.0820543486186982,0.615384615384615,1,4950
"computer","Polish",0.856229905090375,0.0834008162806169,0.555555555555556,1,4950
"computer","Lasso",0.95399460773145,0.0422695730706385,0.761904761904762,1,4950
"computer","uniReg",0.890279333461152,0.0738252505735889,0.692307692307692,1,4950
"computer","LS",1,0,1,1,4950
"debutanizer","uniLasso",0.992080808080808,0.0390055399041511,0.8,1,4950
"debutanizer","Polish",0.88979316979317,0.102850075860109,0.714285714285714,1,4950
"debutanizer","Lasso",0.940577200577201,0.0704194863206959,0.857142857142857,1,4950
"debutanizer","uniReg",0.996,0.0280028287114281,0.8,1,4950
"debutanizer","LS",1,0,1,1,4950
"diamond","uniLasso",0.757121212121212,0.161169761298299,0.2,1,4950
"diamond","Polish",0.976284584980237,0.0290644006809635,0.91304347826087,1,4950
"diamond","Lasso",0.983100570926658,0.0211957033842369,0.956521739130435,1,4950
"diamond","uniReg",0.744905723905724,0.161811573844587,0.2,1,4950
"diamond","LS",1,0,1,1,4950
"elevator","uniLasso",0.780011937557392,0.219375197817781,0,1,4950
"elevator","Polish",0.839904243904244,0.221631081832632,0,1,4950
"elevator","Lasso",0.856248413169982,0.0799514548905523,0.611111111111111,1,4950
"elevator","uniReg",0.787552086521784,0.219999760461859,0,1,4950
"elevator","LS",0.93800742721331,0.0465195678651243,0.823529411764706,1,4950
"energy_efficiency","uniLasso",0.882760942760943,0.126817661952306,0.6,1,4950
"energy_efficiency","Polish",0.892021324354658,0.175954205192264,0.4,1,4950
"energy_efficiency","Lasso",0.984606060606061,0.0368133074253457,0.8,1,4950
"energy_efficiency","uniReg",0.850712842712843,0.138629262042782,0.428571428571429,1,4950
"energy_efficiency","LS",1,0,1,1,4950
"insurance","uniLasso",0.858890812890813,0.136433885733567,0.5,1,4950
"insurance","Polish",0.838251563251563,0.151854319719949,0.428571428571429,1,4950
"insurance","Lasso",0.748200577200577,0.140254201368983,0.5,1,4950
"insurance","uniReg",0.832595478595479,0.133074839044746,0.428571428571429,1,4950
"insurance","LS",1,0,1,1,4950
"kin8nm","uniLasso",1,0,1,1,4950
"kin8nm","Polish",1,0,1,1,4950
"kin8nm","Lasso",1,0,1,1,4950
"kin8nm","uniReg",1,0,1,1,4950
"kin8nm","LS",1,0,1,1,4950
"miami_housing","uniLasso",0.912889698374477,0.0648993393097796,0.684210526315789,1,4950
"miami_housing","Polish",0.918716248434515,0.0582868093026852,0.714285714285714,1,4950
"miami_housing","Lasso",0.992171182726738,0.0185650824471611,0.857142857142857,1,4950
"miami_housing","uniReg",0.829283973078865,0.0687395054649522,0.619047619047619,1,4950
"miami_housing","LS",1,0,1,1,4950
"naval_propulsion","uniLasso",0.886741270387297,0.0899223352486479,0.571428571428571,1,4950
"naval_propulsion","Polish",0.963195592286501,0.0465589002636839,0.833333333333333,1,4950
"naval_propulsion","Lasso",0.9810927456382,0.0224062001929487,0.954545454545455,1,4950
"naval_propulsion","uniReg",0.932586250284135,0.0857214766149739,0.611111111111111,1,4950
"naval_propulsion","LS",1,0,1,1,4950
"protein_structure","uniLasso",0.711686868686869,0.155831017399167,0.333333333333333,1,4950
"protein_structure","Polish",0.759784752284752,0.138763263817342,0.375,1,4950
"protein_structure","Lasso",0.997777777777778,0.0155571270619045,0.888888888888889,1,4950
"protein_structure","uniReg",0.719804713804714,0.153582624871738,0.5,1,4950
"protein_structure","LS",1,0,1,1,4950
"qsar","uniLasso",0.613457429803254,0.0271962710370965,0.525423728813559,0.710407239819005,4950
"qsar","Polish",0.582943551372958,0.0396703829683687,0.441095890410959,0.709876543209877,4950
"qsar","Lasso",0.655817569194655,0.0224313973061663,0.575980392156863,0.745098039215686,4950
"qsar","uniReg",0.630139186180486,0.0249031498143149,0.544776119402985,0.709302325581395,4950
"qsar","LS",1,0,1,1,4950
