"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"ca_housing",1,4928396072.71401,7,0,4919963442.6584,7,0,4927768594.95393,7,0,4887504730.20164,8,1,4909161533.47621,7,0,4884507552.3061,8,1
"ca_housing",2,4942805023.22205,7,0,4930092057.14794,7,0,4913341053.19248,8,1,4915656797.40778,8,1,4927374516.74818,7,0,4915944597.01233,8,1
"ca_housing",3,5041385594.49664,7,0,5031830124.49922,7,0,5010281280.46425,8,1,5011954121.28348,8,1,5031152717.59226,7,0,5010685467.21292,8,1
"ca_housing",4,4949300555.99345,7,0,4954008749.41311,7,0,4926075569.65704,8,1,4924866538.77074,8,1,4949756242.41863,7,0,4924848420.27597,8,1
"ca_housing",5,4802033572.10667,7,0,4791180332.00405,7,0,4777046400.62224,8,1,4769457510.76125,8,1,4789913021.21946,7,0,4768906210.61104,8,1
"ca_housing",6,5000770087.5149,7,0,5003572913.28045,7,0,4979056513.40242,8,1,4977406818.48392,8,1,5001424839.3309,7,0,4977709034.67104,8,1
"ca_housing",7,4896046826.76842,7,0,4900325914.35236,7,0,4883678603.79762,8,1,4883394995.47316,8,1,4897158253.07258,7,0,4884871211.56094,8,1
"ca_housing",8,4892221408.84803,7,0,4885085497.83079,7,0,4872473831.06667,8,1,4853769054.71089,8,1,4877164489.22769,7,0,4852504763.51142,8,1
"ca_housing",9,4714201203.176,7,0,4712412485.97332,7,0,4708317401.06622,8,1,4695254063.10219,8,1,4711723901.2448,7,0,4697786334.36929,8,1
"ca_housing",10,5040345278.85037,7,0,5043915822.78201,7,0,5015028349.70196,8,1,5013373466.90115,8,1,5040451251.33313,7,0,5013348346.54721,8,1
"ca_housing",11,4840134301.19481,7,0,4845047979.21328,7,0,4825098606.98659,8,1,4814895227.7379,8,1,4841371746.03861,7,0,4815630431.11323,8,1
