"dataset","method","split_id","lread","lwrite","scall","sread","swrite","fork","exec","rchar","wchar","pgout","ppgout","pgfree","pgscan","atch","pgin","ppgin","pflt","vflt","runqsz","freemem","freeswap"
"computer","uni_loo",1,-0.0399323222343585,-0.0729837339547023,-0.00367681525427061,-0.0280964056217353,-0.0265294763581449,-2.83808489836227,-1.05982919762448,-2.44193507282228e-05,-3.74027228978923e-05,-0.848371593467334,-0.284324050768133,-0.13631128259987,-0.0492320934032495,-0.54985939021344,-0.307341421415281,-0.189028154997201,-0.0618281839884841,-0.0415307173981894,-0.103314310503579,0.0020402618988098,2.93761787038495e-05
"computer","uni_loo",2,-0.0432864084844392,-0.0722234843822653,-0.00363571410666023,-0.0309040885853225,-0.0300797746298417,-2.70898017758865,-1.03630733664848,-2.57668971348944e-05,-3.59106818797188e-05,-0.850305499598583,-0.292183681115958,-0.130643423964083,-0.0480613316024297,-0.650109981721512,-0.329193489071472,-0.187992926327367,-0.0595638805881269,-0.0414596875414314,-0.0868385904388249,0.00203355619464397,3.05324829078334e-05
"computer","uni_loo",3,-0.0440978942849898,-0.0640988767363848,-0.00375095752010539,-0.0286135368142761,-0.026497698873803,-2.72714215879883,-1.05972798880814,-2.60160858035571e-05,-3.85516202235251e-05,-0.841450124046228,-0.26820022153167,-0.119397930454981,-0.0475876974167737,-0.300356490077436,-0.311632056431696,-0.2034538351836,-0.0609232617920737,-0.0411068706409406,-0.0859631808094949,0.00199810262863684,2.97720644769087e-05
"computer","uni_loo",4,-0.0395629083283346,-0.0691939348478113,-0.00355344140183878,-0.030707980617687,-0.0334074847182774,-2.65647625051423,-0.966761133231729,-2.42677677413119e-05,-3.40583380853992e-05,-0.694613954492627,-0.24179548319678,-0.129658196679017,-0.0485625241486723,-0.320194963648791,-0.299799393486514,-0.194802783888733,-0.0602770074704677,-0.0408247337900535,-0.0966041148696055,0.00199661635206664,3.01090773229443e-05
"computer","uni_loo",5,-0.0472081330720906,-0.0746887887282303,-0.00376606609392068,-0.0299312474247244,-0.0298512614702101,-2.77310954090864,-1.04495857098718,-2.41152682961655e-05,-3.59389729078661e-05,-0.657216055113264,-0.225881995063956,-0.111932654560003,-0.0439060590769776,-0.293471771324064,-0.318312335718372,-0.180191569186474,-0.0604361593724092,-0.0412504351674055,-0.0851377082542442,0.00200499257614965,2.97581932767093e-05
"computer","uni_loo",6,-0.0426169307402675,-0.074513356443852,-0.00372793380740326,-0.0344804087791955,-0.0380596780983298,-2.68502027673722,-1.01255738064702,-2.63703103407531e-05,-3.79822687938664e-05,-0.842805080611833,-0.286392173503122,-0.125888134494085,-0.0486957677162536,-0.382287142729071,-0.332550432836533,-0.206663643104249,-0.0606882889030885,-0.0409391486458507,-0.103833800671986,0.0019746339131908,2.96814485965578e-05
"computer","uni_loo",7,-0.0649863675894379,-0.0728736670823668,-0.00364099394020962,-0.0381373578982645,-0.0433513897645264,-2.68432497465094,-1.03593826595431,-2.5957217002606e-05,-3.67631132351862e-05,-0.739801342369222,-0.247982071994483,-0.12712554607306,-0.0476526342314265,-0.357043967475592,-0.313867492702529,-0.188349664556944,-0.0599217907537917,-0.0402770380427959,-0.0991124887946678,0.00203656998730038,3.02298040432341e-05
"computer","uni_loo",8,-0.0681536337496161,-0.0748858172831407,-0.00370470997703428,-0.0302255228022506,-0.0308771121491328,-2.68111745051816,-0.997838353020609,-2.70320437735192e-05,-3.8887537466212e-05,-0.775773978538701,-0.248916949702247,-0.119852601415665,-0.0431228849264005,-0.243950871372877,-0.327258288752132,-0.1836534778464,-0.05951958507482,-0.0403460039825972,-0.0935419167661564,0.00199847685522771,2.97435724973304e-05
"computer","uni_loo",9,-0.0521078132305604,-0.0583395971245863,-0.0036181317818723,-0.0301012878146093,-0.0291879629719349,-2.6306401371765,-1.0369975902364,-2.51260869493833e-05,-3.64976433187571e-05,-0.837406121231185,-0.267973428594927,-0.131348117565868,-0.0488498054554046,-0.631011230922858,-0.32866868786137,-0.203140067509373,-0.0577276196086761,-0.0398591377638643,-0.0987530554193246,0.00193162383958813,2.89829588111186e-05
"computer","uni_loo",10,-0.0422469725463962,-0.0649735434199791,-0.00362835017914811,-0.0276032178490994,-0.0255959294966663,-2.76718784609151,-1.02478482825934,-2.64936090660628e-05,-3.90254691889354e-05,-0.861271550849041,-0.273854190295566,-0.124821553129816,-0.0475998866481828,-0.264481788058042,-0.303750769643502,-0.187879153963603,-0.0621979799035631,-0.0410232940009408,-0.107663987811879,0.00198443642923952,2.93061952422242e-05
"computer","uni_loo",11,-0.0438764312044792,-0.0585486383973851,-0.00363065140422582,-0.0293093571785246,-0.0266617115959007,-2.77974895704866,-1.03284267083496,-2.69907203719539e-05,-4.4015527316322e-05,-0.785933104132261,-0.26424345192925,-0.11965850761446,-0.0460342116115529,-0.573144790515699,-0.337404031770913,-0.210047491234507,-0.0623881039219999,-0.0414150522178903,-0.0892155074255188,0.00200626221010872,2.88494032050095e-05
"computer","uni_loo",12,-0.0395694089772862,-0.0606285785698666,-0.00369353474183137,-0.0370340396323052,-0.0414302242033844,-2.61071143017641,-0.95610662948103,-2.52659995034941e-05,-3.80283789267987e-05,-0.793516918518091,-0.264984259056515,-0.123347523517117,-0.0452940862755041,-0.37563262992,-0.36386356805425,-0.213509515691099,-0.0589404907388435,-0.0401834221133691,-0.0997223880812506,0.0019901755329839,2.98486714270433e-05
"computer","uni_loo",13,-0.0474822808293638,-0.075549201718571,-0.00369024167265227,-0.0293349294632701,-0.0307857346586946,-2.6590984952993,-0.995314968262712,-2.40060425618156e-05,-3.49680385191474e-05,-0.739555677499475,-0.234688311076884,-0.110939230987008,-0.0426072667685141,-0.431006375556641,-0.312326746615209,-0.18757365309195,-0.0600392365190427,-0.0400995546294551,-0.0863999806916796,0.00194478288343997,2.90786751453091e-05
"computer","uni_loo",14,-0.0531111845535108,-0.0740404233545874,-0.00352671946350884,-0.0309972027305561,-0.0306648638388046,-2.59549184486003,-0.973452808115502,-2.52991600702645e-05,-3.80540460670596e-05,-0.723642480078853,-0.245639418037764,-0.11408730299916,-0.0416828339554112,-0.309736021205208,-0.319621622990236,-0.18861884668117,-0.0574864574754574,-0.0391196764408688,-0.103507926594205,0.0019553040851437,2.95191678260727e-05
"computer","uni_loo",15,-0.0562548242887962,-0.072577057782672,-0.00349153117880921,-0.0263534624216214,-0.0244523867929901,-2.59370953576125,-1.00882711848499,-2.62864036162402e-05,-4.04551659613004e-05,-0.73834747623634,-0.246442257324563,-0.129334626119452,-0.0499429972879175,-0.366572820036457,-0.332289560280836,-0.201088462861155,-0.0566863885577022,-0.03986204627534,-0.0836299437439529,0.00201519662937981,3.06308386439675e-05
"computer","uni_loo",16,-0.0406291373520152,-0.0721706288648568,-0.00377393742294366,-0.0309823657646142,-0.0315574560443519,-2.70332661117391,-1.0082666425676,-2.62317669797778e-05,-3.86880343419919e-05,-0.722982893477298,-0.259989505821197,-0.119731486310429,-0.045913264820069,-0.380017584257169,-0.342887734710019,-0.206493037780383,-0.060755314635611,-0.0404620258071963,-0.0894425683593701,0.00187749663304269,2.79433700381589e-05
"computer","uni_loo",17,-0.0515411518854828,-0.0722815755137982,-0.00372371164387215,-0.0343989540140822,-0.0360267616283946,-2.77532631146926,-1.07063464781534,-2.47675082455305e-05,-3.50216383711645e-05,-0.80880989532395,-0.26899770438479,-0.130359600745076,-0.0487512912970553,-0.26301981641154,-0.32033110673623,-0.193047226841682,-0.0609857245671494,-0.0413433755412423,-0.0941208794706673,0.00195981895960516,2.89948665420668e-05
"computer","uni_loo",18,-0.0410760075050215,-0.0695582056381605,-0.00367814664472173,-0.0316016403201195,-0.0323316919233912,-2.71223048828805,-1.01661986607204,-2.6956544977785e-05,-4.00061815736716e-05,-0.727761847148448,-0.233406250082664,-0.118128339421924,-0.0460051661736314,-0.326993835831315,-0.306235529699271,-0.192096567829644,-0.0602673500189629,-0.040521207083459,-0.0974475497705394,0.00208425003643093,3.06852989350272e-05
"computer","uni_loo",19,-0.040196083937267,-0.0557549967124739,-0.00370526787482808,-0.0325457222154331,-0.0324143659590295,-2.64576501486266,-0.985342965595768,-2.39020346835193e-05,-3.6473066259521e-05,-0.731921058167593,-0.260594213840493,-0.122798221278371,-0.045993935116435,-0.319852668529201,-0.290866727545498,-0.173655915168237,-0.0593873275805167,-0.0395563719288208,-0.0998170441718817,0.00200785968704934,2.8742208217043e-05
"computer","uni_loo",20,-0.0478893167848727,-0.0700399371260299,-0.00358911626681675,-0.0258065607603001,-0.024320257557876,-2.69266626052292,-1.02803354024481,-2.53403810675443e-05,-3.77313706685018e-05,-0.778761596672962,-0.258529926484665,-0.132587468910895,-0.0481520433261999,-1.00459705942694,-0.344686330409044,-0.223222764065468,-0.0591016663490156,-0.0405624776989337,-0.0871337272793959,0.00200243720451056,3.006943345763e-05
"computer","uni_loo",21,-0.0413274666791318,-0.0599341773595712,-0.00381420025902331,-0.0321836017240041,-0.0343560699846847,-2.75930214712039,-0.999540642199248,-2.45520139411467e-05,-3.27130766281821e-05,-0.78712769173374,-0.25861873258329,-0.130314604424616,-0.0532250581641589,-0.40644242363849,-0.314925233138532,-0.185666123733867,-0.061197813583413,-0.0412386375097448,-0.0984787161138228,0.00198353503611757,2.89365964079682e-05
"computer","uni_loo",22,-0.0428297928268487,-0.0653554809838981,-0.00367847220720187,-0.0290049529073115,-0.0300970222027944,-2.91472774716463,-1.11120132914514,-2.56346424881664e-05,-3.48245455092367e-05,-0.911190780373547,-0.276199351242468,-0.12796327117721,-0.048815560156052,-0.568727008084035,-0.337660803551857,-0.200214204672402,-0.0634101590985988,-0.0436152887710958,-0.0857473030884777,0.00201841134904653,2.91295260144216e-05
"computer","uni_loo",23,-0.0543083614045047,-0.0678999934978464,-0.00368691731418308,-0.0357450778163656,-0.0402757264099283,-2.63277286288153,-0.996228597111903,-2.42298417904501e-05,-3.76541550279913e-05,-0.69226727824157,-0.216024378524209,-0.098038234220163,-0.037907715202107,-0.453929303399396,-0.290946459161491,-0.171067570463751,-0.0598413594209184,-0.0393088167880888,-0.0893162398021604,0.00199828038494137,2.924538250634e-05
"computer","uni_loo",24,-0.073817198397608,-0.0741055931182348,-0.00370041546660477,-0.0306878404612148,-0.0320364220625984,-2.6907430340632,-1.01607046372943,-2.68424597967795e-05,-4.00371242979531e-05,-0.772614837956643,-0.287913862007588,-0.140400316132603,-0.0572987663224752,-0.364510151634797,-0.354239017450691,-0.233806761909891,-0.0603710113673786,-0.0403104101182551,-0.0905282400388213,0.00207957384481415,3.02619343916768e-05
"computer","uni_loo",25,-0.0680851109560618,-0.0714811517029582,-0.00347184642812144,-0.0336719867387958,-0.0395354856361089,-2.60381677761518,-0.979985057169318,-2.35794140065526e-05,-3.82479899706804e-05,-0.771588594114903,-0.269399630612776,-0.130940731933023,-0.0484428710529949,-0.405362808335729,-0.309475696169846,-0.181647340346643,-0.0570871155197243,-0.0395218626286925,-0.0874864271125821,0.00204322549511044,3.0424612713063e-05
"computer","uni_loo",26,-0.0480688246008826,-0.0772972835586073,-0.00371601372957607,-0.0267900641337965,-0.0257463567239794,-2.69211298161257,-1.01085853546888,-2.58111922115673e-05,-3.93189188687362e-05,-0.814092573650512,-0.260086000276779,-0.124589999332497,-0.0484254508858637,-0.377116624874385,-0.353830129960148,-0.219507698418115,-0.0613754124530187,-0.0410402606152767,-0.0919352332793556,0.00204122326078644,2.98186199561381e-05
"computer","uni_loo",27,-0.0371811562601932,-0.0605942140565834,-0.0035646726512176,-0.0336105149367794,-0.0381360353210613,-2.5866804171535,-0.985657841255682,-2.49331455712625e-05,-3.47464768781258e-05,-0.772296152499763,-0.26406049786538,-0.123890212741591,-0.0443201004271394,-0.328325369641739,-0.334354692986991,-0.196104369332549,-0.0582332931460479,-0.0392773813314637,-0.0872379484820976,0.0020415423378584,3.03344452150963e-05
"computer","uni_loo",28,-0.0421506261758272,-0.0654879824980165,-0.00361077283050915,-0.0292181494199866,-0.030276368852489,-2.75666093885003,-1.03886393734619,-2.22563877600951e-05,-3.24200704859294e-05,-0.760103118617336,-0.255902019884351,-0.119147339078848,-0.0476077061838898,-0.423076108902466,-0.31700188717178,-0.19108575851024,-0.0605516537132135,-0.0405259619761935,-0.0939842612349868,0.00204831899340699,2.91331156442423e-05
"computer","uni_loo",29,-0.0640110655896615,-0.0832224883417207,-0.0037371077182529,-0.0269609497311187,-0.025588354111599,-2.80926656626863,-1.04607672275139,-2.51132484355461e-05,-3.64926474371814e-05,-0.81793503876522,-0.273958603345471,-0.127632267155752,-0.0491869660307742,-0.473778914897671,-0.346104246397166,-0.210986803466155,-0.0630642798127645,-0.042337564113509,-0.0835681872552869,0.00206233506879654,3.01087796097161e-05
"computer","uni_loo",30,-0.0623140957375972,-0.0788702540925623,-0.00351832495816794,-0.0341823471400099,-0.0389711523770208,-2.56033419455089,-0.94994545419166,-2.54044191757798e-05,-4.06945531525188e-05,-0.783964221348161,-0.257126623599303,-0.123952289817503,-0.0486184038646868,-0.26877943453326,-0.314178960328289,-0.194570957098464,-0.0576523165622078,-0.039178058860614,-0.110569191690141,0.00202771550517828,3.07346143460155e-05
"computer","uni_loo",31,-0.0578410710748789,-0.0784916064802619,-0.00363101876468955,-0.0297622945411825,-0.0311167735013766,-2.592136970171,-1.00404703035487,-2.49007543448974e-05,-3.40101027140909e-05,-0.749503823695944,-0.258044723533139,-0.114031069653754,-0.0407646121044597,-0.311612967633503,-0.326935606156138,-0.204773629492937,-0.0565036353842423,-0.0391188747955343,-0.0851924798188391,0.00192186575873267,2.86503408266942e-05
"computer","uni_loo",32,-0.0405067621541446,-0.0584691272245781,-0.00373946538896676,-0.0313547567643938,-0.032087254768325,-2.7374307459494,-1.01725528208746,-2.65048144362505e-05,-3.91871924070593e-05,-0.776308727729677,-0.263142750158128,-0.12983599485376,-0.0520133640061373,-0.406984670642477,-0.33234301972484,-0.197674234176236,-0.0618356766096114,-0.0410470953479275,-0.089758105751574,0.0019826795750368,2.88165081151634e-05
