"dataset","bootstrap_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_false_mse","unilasso_loo_false_support","polish_unilasso_mse","polish_unilasso_support","lasso_cv_mse","lasso_cv_support","unireg_mse","unireg_support","least_squares_mse","least_squares_support","oob_sample_count"
"ca_housing",1,4941028619.56784,7,4935393858.7874,7,4893183422.94911,8,4896118800.86114,8,4920320283.84143,7,4895811250.671,8,3807
"ca_housing",2,4874187142.69195,7,4869624434.77805,7,4854322978.33424,8,4849372533.43311,8,4872356691.52548,7,4850286630.28714,8,3768
"ca_housing",3,4891885912.17916,7,4871868520.56913,7,4844325473.40897,8,4844880166.33243,8,4878986494.31238,7,4844341831.5904,8,3808
"ca_housing",4,4906402600.24977,7,4887315861.52164,7,4852874700.15018,8,4858732116.0868,8,4895146293.42338,7,4856172812.91972,8,3770
"ca_housing",5,4981636146.96581,7,4975584465.60807,7,4930101388.50881,8,4934422294.31319,8,4961247188.38822,7,4933864854.6277,8,3789
"ca_housing",6,4898653716.7252,7,4892141695.23652,7,4898645039.87422,7,4861253828.47701,8,4887818472.53812,7,4857399718.66884,8,3810
"ca_housing",7,4964319035.81443,7,4961064296.43088,7,4927217266.0286,8,4921239632.09416,8,4948932596.75342,7,4921165661.61625,8,3818
"ca_housing",8,4925078586.83814,7,4915300025.49743,7,4890997229.12242,8,4886950987.29473,8,4913911875.54756,7,4885559076.50949,8,3737
"ca_housing",9,4958075921.43146,7,4956550910.69941,7,4919161125.72555,8,4909375141.25318,8,4940292471.86785,7,4909097476.62656,8,3783
"ca_housing",10,4913934864.08322,7,4903007570.79665,7,4909789334.36251,8,4868921776.69017,8,4899132994.82782,7,4869073687.35411,8,3829
"ca_housing",11,5004721950.83838,6,4928429665.28498,7,4875342771.69156,8,4866227411.75074,8,4934941279.70094,7,4863733285.60021,8,3792
"ca_housing",12,5371826305.26147,5,5351893938.43708,6,4873554388.7667,8,4873824208.17934,8,5371807209.18308,5,4871432286.41807,8,3798
"ca_housing",13,4874611956.22731,7,4862832552.56899,7,4845904931.16313,8,4841164405.64016,8,4866589472.38554,7,4839844406.49672,8,3778
"ca_housing",14,4890121070.43948,7,4875392086.59956,7,4853660702.58876,8,4854168263.59151,8,4884285370.72327,7,4854849811.96662,8,3784
"ca_housing",15,4877638709.16098,7,4869613186.95933,7,4853162050.53143,8,4850833385.6299,8,4875614952.05704,7,4853560277.73738,8,3835
"ca_housing",16,4940658539.09793,7,4918888972.74236,7,4939928481.88697,8,4886246610.22832,8,4917221555.68113,7,4883614886.7624,8,3838
"ca_housing",17,4875965949.01888,7,4867740765.66401,7,4844695269.09999,8,4845525309.76361,8,4870526351.03482,7,4845868891.09439,8,3810
"ca_housing",18,5084545327.43427,6,4922020770.49926,7,4853412362.28402,8,4852402042.39009,8,4986504376.00332,7,4850259690.9036,8,3775
"ca_housing",19,4943861545.50255,7,4938904906.93379,7,4935605848.68081,8,4902158840.23562,8,4929537158.58224,7,4899297495.70919,8,3790
"ca_housing",20,4898800067.91554,7,4894346430.95408,7,4898780047.65388,7,4864521194.94868,8,4885346307.12447,7,4861041052.64591,8,3836
"ca_housing",21,4971742285.17095,7,4929718419.89537,7,4879050653.86468,8,4878467437.86767,8,4923677617.84273,7,4877002456.47008,8,3801
"ca_housing",22,5370020416.66454,5,5370122419.38615,5,4933400488.63056,8,4912327519.76382,8,5370518598.23526,5,4907654334.72291,8,3755
"ca_housing",23,4917189558.75484,7,4903333018.42091,7,4884786514.09156,8,4870741936.03514,8,4900554346.39006,7,4870143877.13589,8,3806
"ca_housing",24,4909540576.92531,7,4900040396.54426,7,4869405812.81744,8,4872283430.50254,8,4895142536.20459,7,4874757273.99035,8,3769
"ca_housing",25,4897629845.90505,7,4875954701.57581,7,4856645800.5503,8,4855005846.32478,8,4886745936.08616,7,4853613250.68429,8,3806
"ca_housing",26,4884034165.80703,7,4876044269.08298,7,4855404598.68161,8,4853436766.44912,8,4879906682.23886,7,4854047908.15562,8,3792
"ca_housing",27,4966279578.67655,7,4966980700.39566,7,4929712572.74983,8,4922887739.15639,8,4945910471.93537,7,4920014755.2164,8,3874
"ca_housing",28,5372617079.22316,5,5372387644.33731,5,4862863447.23341,8,4863052303.06012,8,5372823907.50132,5,4862160117.48864,8,3818
"ca_housing",29,4877904724.58057,7,4868355285.35978,7,4849625161.44948,8,4846419938.70639,8,4874343807.64154,7,4848875551.40167,8,3752
"ca_housing",30,4977047616.67564,7,4961020553.1702,7,4923402601.1419,8,4925933276.5499,8,4968350284.49769,7,4924916873.56267,8,3796
"ca_housing",31,4881907109.36066,7,4869524399.72853,7,4849912983.71232,8,4846177265.32339,8,4875381815.50366,7,4846808185.46318,8,3801
"ca_housing",32,4935017566.05371,7,4924219552.63291,7,4902380498.58878,8,4877685176.56784,8,4908344148.43098,7,4876827399.99228,8,3814
"ca_housing",33,4884483798.48484,7,4878117592.9854,7,4859694238.55022,8,4860321962.4958,8,4883849561.79768,7,4862752745.19028,8,3767
"ca_housing",34,4917571651.38502,7,4907261684.7437,7,4886962152.62818,8,4876057608.66382,8,4906854640.88175,7,4874875779.05444,8,3793
"ca_housing",35,4925593668.53499,7,4926285498.55411,7,4895261543.23217,8,4886964930.2791,8,4913044009.06905,7,4884924631.92757,8,3826
"ca_housing",36,5340813817.45301,6,5038015660.43403,6,4895535840.67008,8,4899111916.7056,8,5137376126.52842,6,4897914620.59304,8,3778
"ca_housing",37,4948098225.10809,7,4926993469.7247,7,4879887967.70042,8,4884223826.87019,8,4918787129.53891,7,4883596455.27027,8,3752
"ca_housing",38,4920085380.39803,7,4914500542.97475,7,4917839073.72196,8,4877916408.22506,8,4905891372.57031,7,4876111942.78605,8,3847
"ca_housing",39,4930070792.80401,7,4925202582.57175,7,4926064761.0483,8,4882517322.63552,8,4911528605.36683,7,4879089167.69615,8,3803
"ca_housing",40,4919255748.6131,7,4879122606.57491,7,4851723521.75253,8,4850815949.89879,8,4893910032.87981,7,4850600830.24733,8,3747
"ca_housing",41,4904771409.15842,7,4897513836.37057,7,4883207028.46645,8,4861669372.90396,8,4891820667.42634,7,4862048002.13715,8,3724
"ca_housing",42,4868275775.7337,7,4863749491.69781,7,4842893746.81136,8,4842836882.12326,8,4866838335.76756,7,4843810750.56405,8,3848
"ca_housing",43,4920793239.3798,7,4909052726.4011,7,4889680713.24757,8,4877534569.60653,8,4903837151.87109,7,4877879029.52643,8,3749
"ca_housing",44,4944247991.72945,7,4871775957.75297,7,4854487716.37894,8,4850646309.06235,8,4903158900.95697,7,4851774232.09199,8,3774
"ca_housing",45,4884292511.24874,7,4875319679.28954,7,4857577040.46335,8,4853836027.69843,8,4880868935.36993,7,4855425377.50277,8,3782
"ca_housing",46,4936504679.43857,7,4921306048.8928,7,4909162307.69283,8,4889609962.24435,8,4921202673.48572,7,4884645586.98943,8,3841
"ca_housing",47,4896968386.07095,7,4887382616.9369,7,4896959702.43769,7,4855054890.30767,8,4882377200.35773,7,4853433516.60621,8,3767
"ca_housing",48,4895782820.89933,7,4877065888.25447,7,4855862954.9624,8,4853398398.21021,8,4885240602.80664,7,4852436842.79625,8,3747
"ca_housing",49,4940663097.42851,7,4930088204.3254,7,4912326782.19466,8,4895291076.12628,8,4925894321.96225,7,4894819160.38688,8,3808
"ca_housing",50,4950367984.35219,7,4950922449.12893,7,4905819199.89607,8,4909556697.73515,8,4934740071.50703,7,4909599526.99197,8,3757
"ca_housing",51,5376327914.91583,5,5375596121.27437,5,4873705384.39945,8,4873826765.6046,8,5376229751.44082,5,4872233374.40095,8,3817
"ca_housing",52,4874113123.49082,7,4868758394.78187,7,4849201411.6569,8,4847289692.20375,8,4871865510.57947,7,4849478892.49548,8,3847
"ca_housing",53,4882952694.0986,7,4870430990.67115,7,4851376900.92033,8,4849897556.1833,8,4877729935.6188,7,4851728703.13564,8,3798
"ca_housing",54,4925762982.29629,7,4922556518.85572,7,4894390395.04162,8,4885525476.68949,8,4912121170.74641,7,4885359192.40525,8,3768
"ca_housing",55,4967485672.66297,7,4926749702.9524,7,4881115174.16535,8,4883538464.20483,8,4929801966.91362,7,4882700123.83423,8,3775
"ca_housing",56,5025800229.30027,7,5029305214.82606,6,4979093570.72913,8,4980518823.51229,7,5010511362.6312,7,4979410871.70416,8,3768
"ca_housing",57,4892461710.66102,7,4890094478.50637,7,4888294000.10902,8,4855044936.7717,8,4878929610.99206,7,4853270082.18488,8,3755
"ca_housing",58,5373611212.05756,5,5375041245.15564,5,4857801693.79842,8,4853259995.7738,8,5374881203.88962,5,4855452878.72406,8,3840
"ca_housing",59,5014314881.16975,7,4929276358.15078,7,4883499380.9026,8,4871368764.76403,8,4942968175.5506,7,4868487341.08698,8,3807
"ca_housing",60,4873467260.11536,7,4868328209.91548,7,4848998545.81632,8,4847327331.07625,8,4870671595.62725,7,4847235070.93105,8,3831
"ca_housing",61,4922861331.39106,7,4916884887.57994,7,4922836262.63183,7,4874682387.80967,8,4904429947.78009,7,4871693597.93065,8,3737
"ca_housing",62,4934565804.89901,7,4925038856.794,7,4886205108.26054,8,4888115708.61101,8,4920711176.60503,7,4887276690.25625,8,3755
"ca_housing",63,4966153250.12371,6,4952861341.57811,6,4915779993.6428,8,4916133782.86566,7,4947499977.98021,6,4920214343.76524,8,3743
"ca_housing",64,4873656808.44748,7,4864221720.7282,7,4845202463.7381,8,4842798324.47164,8,4868858950.93217,7,4844683129.65004,8,3817
"ca_housing",65,4998622116.70657,7,5001772633.59934,6,4998623224.58667,7,4920713375.45751,8,4944706451.30492,7,4910779447.35955,8,3808
"ca_housing",66,4921700529.80528,7,4912641150.11726,7,4918717301.50274,8,4878843899.30852,8,4908430250.17837,7,4876012384.68178,8,3853
"ca_housing",67,4901792641.05418,7,4895636706.73961,7,4901786818.00592,7,4857877865.83553,8,4885211976.8737,7,4854597567.44033,8,3797
"ca_housing",68,4874938742.97417,7,4866806821.30959,7,4851804604.2017,8,4847362017.09706,8,4872651055.92593,7,4848431714.12422,8,3778
"ca_housing",69,4930312529.25667,7,4915019866.70035,7,4927688847.41744,8,4884581165.76619,8,4916886425.14301,7,4881886865.14133,8,3789
"ca_housing",70,4887605717.03908,7,4877925760.16852,7,4868643506.58207,8,4854589880.96849,8,4880875275.68072,7,4852100947.04693,8,3836
"ca_housing",71,4996423566.9625,7,5022123524.11366,6,4996131375.70541,7,4918837131.08234,8,4933750033.21367,7,4906797427.96848,8,3838
"ca_housing",72,4880829874.45677,7,4870942228.01482,7,4851915525.34396,8,4850315322.54091,8,4876560062.71636,7,4849858186.71929,8,3802
"ca_housing",73,4936652267.60558,6,4934032969.97029,6,4905059703.64285,7,4898350724.03897,7,4924445038.55998,6,4906323418.72163,8,3806
"ca_housing",74,4914311010.4982,7,4905091381.16954,7,4884144177.88982,8,4868687230.91947,8,4899865325.56354,7,4868174393.55182,8,3788
"ca_housing",75,4869582611.57806,7,4863309420.16789,7,4842770867.758,8,4841750001.36206,8,4867710496.08798,7,4842608114.05817,8,3793
"ca_housing",76,4946724268.40869,7,4942050173.76482,7,4900039308.71727,8,4901440904.41324,8,4927851947.29973,7,4900512992.00788,8,3862
"ca_housing",77,4882071931.33853,7,4875737109.74418,7,4852617038.69436,8,4851578926.51681,8,4878081779.78009,7,4851909158.56287,8,3807
"ca_housing",78,4933006618.41531,7,4920368087.29465,7,4905638620.86248,8,4888330509.17011,8,4918388423.07672,7,4886787110.24853,8,3744
"ca_housing",79,4869392812.28924,7,4864542040.82797,7,4851096889.71043,8,4847261921.56551,8,4867279783.28485,7,4846443695.81249,8,3787
"ca_housing",80,4926523073.05523,7,4874643897.82847,7,4858020434.10672,8,4852188964.59266,8,4897113383.04719,7,4850730464.41901,8,3776
"ca_housing",81,4903298356.74427,7,4893855639.13841,7,4899628488.91203,8,4862767735.69702,8,4892155312.37899,7,4861101061.51331,8,3832
"ca_housing",82,4902164391.31828,7,4896566877.15244,7,4874338530.11843,8,4865134953.71697,8,4893069421.60765,7,4864626571.05206,8,3807
"ca_housing",83,5005648113.4648,7,4895992763.68071,7,4852613364.36237,8,4852480925.70496,8,4937066013.77119,7,4850235834.03485,8,3793
"ca_housing",84,4879900793.03106,7,4868075435.02299,7,4842981147.30476,8,4844719646.79473,8,4873656282.4113,7,4844205887.91827,8,3813
"ca_housing",85,4934665149.23758,7,4934411541.75517,7,4927898190.64783,8,4892441298.921,8,4921563385.65366,7,4890593586.59447,8,3795
