"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"ca_housing",1,4927772231.08511,7,0,4920081616.82973,7,0,4927768594.95393,7,0,4885694257.46765,8,1,4909161533.47621,7,0,4884507552.3061,8,1
"ca_housing",2,4941742550.81767,7,0,4929543690.36752,7,0,4913341053.19248,8,1,4915961233.79145,8,1,4927374516.74818,7,0,4915944597.01233,8,1
"ca_housing",3,5042037055.81011,7,0,5031819903.03372,7,0,5010281280.46425,8,1,5012751716.9849,8,1,5031152717.59226,7,0,5010685467.21292,8,1
"ca_housing",4,4947435874.06525,7,0,4951057132.68084,7,0,4926075569.65704,8,1,4924653157.67248,8,1,4949756242.41863,7,0,4924848420.27597,8,1
"ca_housing",5,4801593559.57889,7,0,4790803373.4148,7,0,4777046400.62224,8,1,4769201987.62565,8,1,4789913021.21946,7,0,4768906210.61104,8,1
"ca_housing",6,4999678576.6997,7,0,5001178745.87102,7,0,4979056513.40242,8,1,4976740269.8492,8,1,5001424839.3309,7,0,4977709034.67104,8,1
"ca_housing",7,4891289907.82244,7,0,4895097983.18312,7,0,4883678603.79762,8,1,4880525418.89706,8,1,4897158253.07258,7,0,4884871211.56094,8,1
"ca_housing",8,4894072377.43249,7,0,4887294235.81522,7,0,4872473831.06667,8,1,4855115361.52895,8,1,4877164489.22769,7,0,4852504763.51142,8,1
"ca_housing",9,4713847669.67299,7,0,4712245289.77703,7,0,4708317401.06622,8,1,4694903458.87402,8,1,4711723901.2448,7,0,4697786334.36929,8,1
"ca_housing",10,5040331234.93411,7,0,5041151452.45157,7,0,5015028349.70196,8,1,5013522906.49854,8,1,5040451251.33313,7,0,5013348346.54721,8,1
"ca_housing",11,4836219007.20894,7,0,4840161945.51825,7,0,4825098606.98659,8,1,4812784880.19169,8,1,4841371746.03861,7,0,4815630431.11323,8,1
"ca_housing",12,4929360393.40295,7,0,4929447856.24205,7,0,4902716903.24021,8,1,4901938851.77479,8,1,4930267640.70747,7,0,4901384454.25893,8,1
"ca_housing",13,4985022263.9449,7,0,4976188236.43187,7,0,4984986555.37031,7,0,4926876850.14442,8,1,4960070295.82173,7,0,4917346288.41412,8,1
"ca_housing",14,4975487251.26737,7,0,4967919531.25645,7,0,4972264197.40334,8,1,4937209455.5807,8,1,4966154546.1284,7,0,4935592177.83684,8,1
"ca_housing",15,5044736893.84448,7,0,5049601019.90936,7,0,5027147080.92872,8,1,5019564142.82829,8,1,5049460334.08013,7,0,5019310875.41325,8,1
"ca_housing",16,4951417313.11607,7,0,4955673270.91151,7,0,4928957165.60581,8,1,4926596224.4513,8,1,4954839158.5696,7,0,4926130348.86654,8,1
