"dataset","split_id","unilasso_loo_true_mse","unilasso_loo_true_support","unilasso_loo_true_sign_diff","unilasso_loo_true_nosign_mse","unilasso_loo_true_nosign_support","unilasso_loo_true_nosign_sign_diff","unilasso_loo_false_mse","unilasso_loo_false_support","unilasso_loo_false_sign_diff","polish_unilasso_mse","polish_unilasso_support","polish_unilasso_sign_diff","lasso_cv_mse","lasso_cv_support","lasso_cv_sign_diff","unireg_mse","unireg_support","unireg_sign_diff","least_squares_mse","least_squares_support","least_squares_sign_diff"
"diamond",1,2386966.31779661,4,0,1553177.62530824,19,14,2384984.93507829,4,0,1324830.26476431,23,12,1318575.76738011,23,12,2381253.0775357,4,0,1317169.42450013,23,12
"diamond",2,2326449.40140801,3,0,1688812.66024388,15,12,2319001.9670969,4,0,1254995.55686438,22,13,1254849.15707479,23,13,2281693.06065626,5,0,1253115.18078796,23,13
"diamond",3,2380805.92923647,3,0,1525995.33562583,19,13,2379061.68053703,3,0,1290114.18323067,23,13,1290723.23087274,23,13,2364963.65812306,4,0,1290025.83612121,23,13
"diamond",4,2382984.80037125,4,0,1568277.91854716,20,14,2379809.90889555,4,0,1289858.92909784,23,15,1290888.37826977,23,15,2367337.10132588,4,0,1289624.14473366,23,15
"diamond",5,2342788.10717464,4,0,1538167.99212756,21,14,2342072.64265032,4,0,1280932.05788644,23,14,1280437.30532074,23,14,2339802.04398011,4,0,1281556.49263594,23,14
"diamond",6,2400142.24203953,3,0,1673924.48619308,17,13,2399738.17618864,3,0,1319146.01333677,22,14,1307931.49290212,22,14,2387652.90286816,4,0,1305829.16590316,23,14
"diamond",7,2389694.61917402,3,0,2186597.53227073,20,14,2388869.28214027,3,0,1390917.89292879,23,13,1302917.83978129,23,13,2358015.22244256,5,0,1451938.69611229,23,13
"diamond",8,2367872.33426508,3,0,1463185.61103759,21,14,2366925.00896727,3,0,1270881.68935808,23,13,1273308.61484619,22,13,2363822.35915984,4,0,1270289.68219824,23,13
"diamond",9,2482319.54299023,2,0,1516957.11547099,21,15,2481613.84887842,2,0,1353117.13798458,23,14,1346196.21812123,23,14,2446145.29857881,4,0,1343887.4211479,23,14
"diamond",10,2329477.59749147,3,0,1551324.95923183,21,14,2328876.78995126,3,0,1261366.59735349,23,12,1264014.39163799,23,12,2307626.47947701,5,0,1262597.37319471,23,12
"diamond",11,2312709.91793039,3,0,1485281.84929329,20,15,2312223.71278528,3,0,1234713.65027869,23,13,1235549.96968846,22,13,2311516.33292786,4,0,1234835.75163618,23,13
"diamond",12,2407639.77208151,2,0,1903082.44911015,18,14,2407261.05306292,2,0,1357513.98524583,23,13,1288872.27519461,23,13,2384903.01117195,3,0,1407846.59742438,23,13
"diamond",13,2326898.54905995,4,0,1603808.10740004,17,14,2322263.64026746,4,0,1257717.26429109,23,13,1255495.96120204,23,13,2297287.96346784,5,0,1257632.34957229,23,13
"diamond",14,2376979.42329611,4,0,1525828.04571836,21,14,2374818.87199838,4,0,1305887.1085141,23,14,1305881.3633591,22,14,2365469.90754512,4,0,1305926.99419588,23,14
"diamond",15,2398549.89301354,3,0,1597390.62712436,21,14,2397086.19422929,3,0,1300178.11970722,22,13,1301692.51245311,22,13,2390797.22448533,4,0,1299678.40604085,23,13
"diamond",16,2356356.89117079,3,0,1530105.7239519,21,14,2356013.37463959,3,0,1256637.05023881,23,14,1259760.03454607,23,14,2329020.12163626,5,0,1255545.59873127,23,14
"diamond",17,2372398.74480735,3,0,1558993.18956104,20,14,2371727.68625265,3,0,1300605.08397315,23,15,1300681.49101655,23,15,2361282.32910754,4,0,1300888.56531224,23,15
"diamond",18,2392817.23031652,3,0,1427276.82159598,20,13,2391956.34699783,3,0,1282165.85778666,23,14,1284167.03137484,22,14,2387839.81799773,3,0,1281260.8883508,23,14
"diamond",19,2400135.80128653,3,0,1556670.05279942,19,14,2399176.5711444,3,0,1320619.73877061,22,12,1312595.74984147,22,12,2376851.75078171,4,0,1310262.49083753,23,12
"diamond",20,2424626.71499962,2,0,1540418.98996615,19,15,2423424.80242018,2,0,1294001.57834021,23,13,1295164.02884105,22,13,2396239.72794902,3,0,1293110.42393671,23,13
"diamond",21,2361251.85430494,3,0,1487084.26574178,19,14,2360551.24442669,3,0,1263422.39169763,23,13,1264628.97008362,21,12,2358782.9349585,3,0,1262879.08392421,23,13
"diamond",22,2357342.06616836,3,0,1722767.20912202,15,12,2356628.43459942,3,0,1295826.06819111,21,13,1284760.1084121,22,14,2343261.60802669,4,0,1282083.99302001,23,14
"diamond",23,2302864.23784285,4,0,1569725.24311809,16,13,2301721.84537862,4,0,1255705.82409136,22,14,1254058.40171923,22,14,2297285.24825755,4,0,1255322.03632665,23,14
"diamond",24,2268210.19630061,3,0,1399074.78247962,22,14,2267516.45181738,3,0,1226815.93591465,23,14,1227260.82867448,22,14,2256546.03481491,4,0,1227907.73728691,23,14
"diamond",25,2331267.96280701,3,0,1450825.84863668,19,13,2328370.25041837,3,0,1244767.89379157,23,14,1245633.69928515,23,14,2288519.03889857,5,0,1246225.49668266,23,14
"diamond",26,2501855.38550333,3,0,1718270.31795939,20,14,2500701.81784046,3,0,1381717.61276325,23,14,1380764.45773039,22,14,2486119.30956342,4,0,1381867.4429151,23,14
"diamond",27,2353935.97022512,4,0,1530591.57847777,20,14,2351748.01140541,4,0,1309658.7859124,22,12,1301688.15371768,23,13,2336715.20855947,5,0,1301990.93530056,23,12
