"dataset","method","mean_stability","sd_stability","min_stability","max_stability","n_pairs"
"airfoil","uniLasso",1,0,1,1,4950
"airfoil","Polish",1,0,1,1,4950
"airfoil","Lasso",1,0,1,1,4950
"airfoil","uniReg",1,0,1,1,4950
"airfoil","LS",1,0,1,1,4950
"appliances_energy","uniLasso",0.813282864161652,0.102115523519048,0.5,1,4950
"appliances_energy","Polish",0.8479509177691,0.0913810143150628,0.533333333333333,1,4950
"appliances_energy","Lasso",0.922617324239546,0.0547047939239317,0.703703703703704,1,4950
"appliances_energy","uniReg",0.811890568186023,0.0997110549770361,0.466666666666667,1,4950
"appliances_energy","LS",1,0,1,1,4950
"auto_mpg","uniLasso",0.719690235690236,0.161216444862946,0.333333333333333,1,4950
"auto_mpg","Polish",0.679371813371813,0.165476908234533,0.285714285714286,1,4950
"auto_mpg","Lasso",0.693798941798942,0.148571603054898,0.428571428571429,1,4950
"auto_mpg","uniReg",0.735212121212121,0.148936550815441,0.5,1,4950
"auto_mpg","LS",1,0,1,1,4950
"automobile","uniLasso",0.700549157352188,0.168777088609621,0.307692307692308,1,4950
"automobile","Polish",0.539585585202482,0.19927799251612,0.2,1,4950
"automobile","Lasso",0.534778401556223,0.149388519678076,0.130434782608696,1,4950
"automobile","uniReg",0.571426648547861,0.122890424960215,0.285714285714286,1,4950
"automobile","LS",0.994739393939394,0.0135198813975943,0.96,1,4950
"beijing_pm2.5","uniLasso",1,0,1,1,4950
"beijing_pm2.5","Polish",0.947255382103867,0.0625655087513227,0.727272727272727,1,4950
"beijing_pm2.5","Lasso",0.988044077134986,0.0307270031763506,0.909090909090909,1,4950
"beijing_pm2.5","uniReg",1,0,1,1,4950
"beijing_pm2.5","LS",1,0,1,1,4950
"bike_sharing","uniLasso",0.872125638671093,0.0819251008475121,0.583333333333333,1,4950
"bike_sharing","Polish",0.876320336229427,0.0807681218680771,0.583333333333333,1,4950
"bike_sharing","Lasso",0.935535424171788,0.0614640181345509,0.692307692307692,1,4950
"bike_sharing","uniReg",0.909732382096018,0.0707823678677729,0.666666666666667,1,4950
"bike_sharing","LS",1,0,1,1,4950
"concrete","uniLasso",0.954545454545455,0.067651595622034,0.714285714285714,1,4950
"concrete","Polish",0.947842712842713,0.0675561358225292,0.75,1,4950
"concrete","Lasso",0.885865800865801,0.0926884725906994,0.625,1,4950
"concrete","uniReg",0.997142857142857,0.020002020508163,0.857142857142857,1,4950
"concrete","LS",1,0,1,1,4950
"crime_unnormalized","uniLasso",0.374844537595796,0.171875657584005,0.0588235294117647,1,4950
"crime_unnormalized","Polish",0.39439498030766,0.168663455211287,0.0625,1,4950
"crime_unnormalized","Lasso",0.263667502296094,0.168470317180157,0.03,1,4950
"crime_unnormalized","uniReg",0.313208604230494,0.0969396223268588,0.0588235294117647,0.739130434782609,4950
"crime_unnormalized","LS",1,0,1,1,4950
"crime","uniLasso",0.521449306762528,0.079142759974816,0.228571428571429,0.821428571428571,4950
"crime","Polish",0.511358834430231,0.0791440440539706,0.228571428571429,0.821428571428571,4950
"crime","Lasso",0.45263958203007,0.0915063879049449,0.197916666666667,0.733333333333333,4950
"crime","uniReg",0.497345614749569,0.0683997975672315,0.282608695652174,0.763157894736842,4950
"crime","LS",0.996024815079933,0.00393722048796191,0.992125984251969,1,4950
"daily_demand","uniLasso",0.757706239888058,0.168455435493422,0.25,1,4950
"daily_demand","Polish",0.787890842042357,0.139395933514785,0.363636363636364,1,4950
"daily_demand","Lasso",0.957769520602854,0.0878016158987594,0.5,1,4950
"daily_demand","uniReg",0.682450690162811,0.13162555496207,0.3,1,4950
"daily_demand","LS",1,0,1,1,4950
"facebook_metrics","uniLasso",0.780495590828924,0.20333359221649,0.333333333333333,1,4950
"facebook_metrics","Polish",0.648109840776507,0.253872093814515,0.2,1,4950
"facebook_metrics","Lasso",0.82886075036075,0.205123805784961,0.375,1,4950
"facebook_metrics","uniReg",0.561469932144175,0.140939502777438,0.2,1,4950
"facebook_metrics","LS",1,0,1,1,4950
"forest_fires","uniLasso",0.431515151515152,0.481757364235765,0,1,4950
"forest_fires","Polish",0.233931457431457,0.367494579665134,0,1,4950
"forest_fires","Lasso",0.307654882154882,0.426691414635576,0,1,4950
"forest_fires","uniReg",0.229848484848485,0.290328004080493,0,1,4950
"forest_fires","LS",1,0,1,1,4950
"infrared_thermo_temp","uniLasso",0.555520442520443,0.198779460953814,0.111111111111111,1,4950
"infrared_thermo_temp","Polish",0.523682201754817,0.179856726639715,0.125,1,4950
"infrared_thermo_temp","Lasso",0.466271291548181,0.151275319030052,0.0666666666666667,1,4950
"infrared_thermo_temp","uniReg",0.562306091215182,0.166770336727457,0.1,1,4950
"infrared_thermo_temp","LS",1,0,1,1,4950
"liver_disorders","uniLasso",0.734740740740741,0.241903618274385,0,1,4950
"liver_disorders","Polish",0.764915824915825,0.218340722026853,0,1,4950
"liver_disorders","Lasso",0.730956228956229,0.182254999306953,0.2,1,4950
"liver_disorders","uniReg",0.808939393939394,0.17458314628942,0.4,1,4950
"liver_disorders","LS",1,0,1,1,4950
"metro_traffic","uniLasso",0.863353535353535,0.114443842143676,0.666666666666667,1,4950
"metro_traffic","Polish",0.832517556517557,0.125828780134203,0.571428571428571,1,4950
"metro_traffic","Lasso",0.756206349206349,0.22307975943442,0.5,1,4950
"metro_traffic","uniReg",0.872353775853776,0.111726123409443,0.5,1,4950
"metro_traffic","LS",1,0,1,1,4950
"parkinsons","uniLasso",0.8699037999038,0.104576043948843,0.625,1,4950
"parkinsons","Polish",0.900459069549979,0.0700058581261514,0.714285714285714,1,4950
"parkinsons","Lasso",0.840252384096811,0.0856139044462131,0.578947368421053,1,4950
"parkinsons","uniReg",0.875859788359788,0.105147286446374,0.625,1,4950
"parkinsons","LS",1,0,1,1,4950
"power_consumption","uniLasso",1,0,1,1,4950
"power_consumption","Polish",0.99020202020202,0.0392085040763312,0.833333333333333,1,4950
"power_consumption","Lasso",0.946127946127946,0.0779596387638921,0.833333333333333,1,4950
"power_consumption","uniReg",1,0,1,1,4950
"power_consumption","LS",1,0,1,1,4950
"power_plant","uniLasso",1,0,1,1,4950
"power_plant","Polish",1,0,1,1,4950
"power_plant","Lasso",1,0,1,1,4950
"power_plant","uniReg",1,0,1,1,4950
"power_plant","LS",1,0,1,1,4950
"real_estate","uniLasso",0.825683501683502,0.118594416689472,0.666666666666667,1,4950
"real_estate","Polish",0.828417508417508,0.118496928508881,0.666666666666667,1,4950
"real_estate","Lasso",0.915858585858586,0.0833378336618606,0.833333333333333,1,4950
"real_estate","uniReg",0.875528619528619,0.111507696956525,0.666666666666667,1,4950
"real_estate","LS",1,0,1,1,4950
"servo","uniLasso",0.621144781144781,0.251069494145897,0.333333333333333,1,4950
"servo","Polish",0.906195286195286,0.190025699065755,0.333333333333333,1,4950
"servo","Lasso",1,0,1,1,4950
"servo","uniReg",0.714612794612795,0.232686663224527,0.333333333333333,1,4950
"servo","LS",1,0,1,1,4950
"stock_portfolio","uniLasso",0.707075837742504,0.154701972525441,0.285714285714286,1,4950
"stock_portfolio","Polish",0.678324719051992,0.155173762911926,0.25,1,4950
"stock_portfolio","Lasso",0.64668175987873,0.134758198585144,0.25,1,4950
"stock_portfolio","uniReg",0.728309603976271,0.145718234860786,0.25,1,4950
"stock_portfolio","LS",1,0,1,1,4950
"superconductivity","uniLasso",0.969286327325543,0.0317108142337561,0.888888888888889,1,4950
