climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa
118.0,-55.0,-0.28,-0.08,-0.2,-11.0,11.0,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001
390.0,-45.0,-0.06,-0.07,-0.6,-12.0,11.0,0.01,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
68.0,6.0,0.11,0.15,0.6,-10.0,-9.0,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0.0,0.0,0.0,-0.001
-358.0,-12.0,-0.2,0.13,-0.3,-11.0,-7.0,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001
-411.0,-19.0,-0.18,0.02,-0.5,-11.0,-3.0,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001
-374.0,-29.0,-0.14,0.03,-0.8,-12.0,5.0,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001
-11.0,-43.0,0.34,-0.05,-0.4,-11.0,9.0,0.01,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007
224.0,5.0,-0.35,0.06,-1.2,-12.0,1.0,0.01,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-120.0,13.0,0.29,0.15,-1.4,-12.0,-9.0,0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-335.0,-3.0,0.27,0.13,-0.1,-11.0,-8.0,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001
-237.0,-32.0,-0.15,0.03,0.3,-11.0,2.0,-0.007,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001
-104.0,-60.0,0.3,0.09,0.8,-10.0,-4.0,-0.007,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,-0.0002,0.0,-0.0009
-165.0,-63.0,0.16,0.1,1.0,-10.0,-7.0,-0.014,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001
108.0,-70.0,-0.4,0.01,-0.6,-11.0,6.0,0.003,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0001,0.0,-0.0008
51.0,-52.0,0.18,0.1,-1.5,-12.0,-4.0,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-43.0,-52.0,0.19,0.18,-1.2,-12.0,-13.0,-0.005,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-368.0,-71.0,0.03,0.12,-0.8,-12.0,-7.0,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
58.0,-85.0,0.13,-0.11,-0.5,-11.0,17.0,0.003,-0.3,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007
376.0,-73.0,0.01,-0.04,-0.3,-11.0,8.0,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
501.0,-41.0,-0.19,0.04,-0.7,-12.0,1.0,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009
556.0,-25.0,-0.08,0.03,-0.9,-12.0,4.0,0.009,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-131.0,12.0,0.06,0.19,0.1,-11.0,-15.0,-0.01,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-275.0,2.0,-0.13,0.07,0.0,-11.0,-4.0,-0.008,0.2,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009
-130.0,-15.0,-0.2,0.02,-0.9,-12.0,4.0,-0.001,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
199.0,-14.0,0.04,-0.04,-1.2,-12.0,10.0,0.007,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
93.0,7.0,0.25,0.09,0.0,-11.0,-5.0,0.001,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007
-31.0,9.0,0.13,0.11,0.4,-11.0,-7.0,-0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-26.0,7.0,0.03,0.02,0.6,-10.0,8.0,-0.007,-0.9,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-128.0,5.0,-0.17,0.13,0.4,-11.0,-9.0,-0.01,-0.4,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009
-194.0,3.0,-0.17,-0.04,0.2,-11.0,-2.0,0.005,2.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
102.0,-3.0,0.16,-0.03,0.2,-11.0,7.0,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
146.0,2.0,0.25,0.03,0.5,-10.0,-1.0,0.005,0.5,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006
-234.0,1.0,-0.12,0.13,1.0,-10.0,-11.0,-0.009,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-323.0,-7.0,-0.22,0.09,0.7,-10.0,-3.0,-0.007,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-328.0,-15.0,-0.3,0.03,0.4,-11.0,4.0,-0.005,-0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0.0,0.0001,0.0,-0.0008
200.0,-21.0,0.08,-0.12,-0.2,-11.0,17.0,0.011,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
384.0,-10.0,0.27,-0.02,0.3,-11.0,6.0,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
318.0,3.0,0.34,0.1,0.8,-10.0,-10.0,0.002,1.0,-0.0008,-0.0006,-0.0006,-0.0006,-0.0002,0.0,-0.0002,0.0,-0.0006
-332.0,3.0,-0.21,0.16,1.2,-10.0,-14.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-427.0,-19.0,-0.36,0.05,0.3,-11.0,1.0,-0.002,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0.0001,0.0,0.0,0.0,-0.0007
139.0,-39.0,0.23,-0.03,-0.5,-11.0,8.0,0.008,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-113.0,-34.0,0.32,0.07,-0.8,-12.0,-2.0,0.005,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-54.0,-38.0,0.39,0.01,0.1,-11.0,4.0,0.002,0.1,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0.0,0.0,0.0,-0.0006
-72.0,-39.0,0.29,0.07,0.6,-10.0,-8.0,-0.011,0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-81.0,-42.0,0.16,0.04,0.9,-10.0,1.0,-0.007,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-83.0,-46.0,-0.23,0.04,0.9,-10.0,-1.0,-0.012,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-27.0,-48.0,-0.38,0.01,0.4,-11.0,6.0,-0.009,-0.7,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
294.0,-17.0,0.3,0.04,-0.2,-11.0,1.0,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
146.0,-6.0,0.18,0.11,0.6,-10.0,-9.0,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-182.0,-6.0,-0.33,0.14,0.4,-11.0,-11.0,-0.016,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009
-259.0,-10.0,-0.43,-0.05,0.0,-11.0,-2.0,-0.008,2.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0.0,0.0,0.0,-0.0008
-88.0,-16.0,-0.38,-0.05,-0.8,-12.0,11.0,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0007,0.0,0.0,0.0001,0.0,-0.0007
330.0,-11.0,-0.09,-0.13,-1.4,-12.0,19.0,0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
509.0,-3.0,0.06,0.04,-1.4,-12.0,5.0,0.011,-1.9,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
550.0,13.0,0.22,0.04,-1.2,-12.0,-1.0,0.009,0.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
188.0,50.0,0.24,0.13,0.7,-10.0,-11.0,-0.008,-0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007
14.0,52.0,0.03,0.14,0.9,-10.0,-12.0,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-263.0,40.0,-0.51,0.09,-0.6,-11.0,-5.0,-0.007,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
275.0,36.0,0.49,0.01,-0.6,-11.0,5.0,0.002,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-275.0,14.0,0.21,0.09,-0.3,-11.0,-4.0,-0.008,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
462.0,24.0,0.25,0.02,-0.5,-11.0,4.0,0.001,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
-534.0,11.0,-0.28,0.07,-0.5,-11.0,-2.0,0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-72.0,-35.0,0.36,0.01,0.8,-10.0,3.0,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007
-149.0,-40.0,0.11,0.07,1.5,-9.0,-5.0,-0.01,0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007
-197.0,-43.0,-0.05,0.11,1.6,-9.0,-8.0,-0.021,-0.6,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-241.0,-48.0,-0.31,0.05,1.3,-10.0,1.0,-0.018,-0.5,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-202.0,-56.0,-0.42,0.0,0.5,-11.0,3.0,0.001,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0.0,0.0,0.0,0.0,-0.0007
373.0,-51.0,0.01,-0.06,-0.9,-12.0,12.0,0.01,0.0,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
528.0,-34.0,0.2,0.01,-0.7,-12.0,6.0,0.008,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
383.0,7.0,-0.01,0.09,0.2,-11.0,-6.0,-0.009,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
172.0,17.0,-0.18,0.15,0.0,-11.0,-12.0,-0.008,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
6.0,21.0,-0.24,0.09,-0.8,-12.0,-5.0,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0007,0.0001,0.0,0.0001,0.0,-0.0007
106.0,23.0,0.04,0.01,-1.0,-12.0,5.0,0.01,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-311.0,13.0,-0.2,0.07,0.1,-11.0,-3.0,0.004,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
84.0,-11.0,0.22,0.01,0.6,-10.0,4.0,0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-102.0,-9.0,-0.17,0.09,0.8,-10.0,-6.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
357.0,9.0,0.33,0.02,-0.2,-11.0,3.0,0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
321.0,21.0,0.27,0.1,0.6,-10.0,-7.0,-0.011,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-16.0,33.0,-0.46,0.11,0.1,-11.0,-8.0,-0.014,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0.0,0.0,0.0,-0.0009
320.0,48.0,0.41,0.01,-0.7,-12.0,5.0,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0005,0.0,0.0,-0.0001,0.0,-0.0005
344.0,54.0,0.46,0.11,-0.3,-11.0,-4.0,0.004,-1.5,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
272.0,60.0,0.48,0.16,0.4,-11.0,-12.0,-0.006,-0.9,-0.0008,-0.0008,-0.0008,-0.0007,0.0,0.0,-0.0002,0.0,-0.0007
62.0,64.0,0.24,0.16,1.0,-10.0,-15.0,-0.017,0.0,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009
-499.0,48.0,-0.27,0.15,0.8,-10.0,-13.0,-0.01,0.0,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
-299.0,-18.0,0.12,0.01,-0.6,-12.0,5.0,0.008,0.0,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006
-270.0,-21.0,0.17,-0.07,-0.6,-11.0,5.0,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0.0,0.0,0.0,0.0,-0.0005
-173.0,-29.0,0.09,0.04,-0.1,-11.0,1.0,-0.007,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008
