feature,importance_rf
TOT_LVG_AREA,0.29209347258165136
OCEAN_DIST,0.13759254815970273
structure_quality_5,0.1038427627550045
SPEC_FEAT_VAL,0.08972179446710629
SUBCNTR_DI,0.06981039392640793
LONGITUDE,0.0678527198024103
CNTR_DIST,0.05780364811662811
LND_SQFOOT,0.045691387792535995
LATITUDE,0.031441523802143566
WATER_DIST,0.030984827469253743
age,0.019655291769244836
HWY_DIST,0.018629754801716022
RAIL_DIST,0.013017171848560596
structure_quality_2,0.009975480685860705
structure_quality_4,0.00860986697649948
structure_quality_3,0.002607615668998596
month_sold_2,0.00010423587996029313
month_sold_3,9.366876688983226e-05
month_sold_8,7.905540842129951e-05
month_sold_6,7.043610496677873e-05
month_sold_7,5.1562659200920926e-05
month_sold_12,5.0835532595732426e-05
month_sold_9,4.891486458978867e-05
avno60plus_1,4.872103880161879e-05
month_sold_5,4.476681327229331e-05
month_sold_4,3.405445790507762e-05
month_sold_11,2.811265494902663e-05
month_sold_10,1.5375194722485336e-05
