feature,importance_rf
freeswap,0.31159561184958057
runqsz,0.26473078688099994
freemem,0.19404159626683304
vflt,0.06530955375440647
fork,0.0334772980886553
pflt,0.03131591094907445
scall,0.022409981176814295
sread,0.018565238123439326
swrite,0.011001770296363657
lread,0.009434181715714206
exec,0.00798681302352312
wchar,0.006828877796140886
pgin,0.006389123349678526
rchar,0.006295486453094857
ppgin,0.005638954430331149
ppgout,0.0014451618233798406
pgfree,0.0012393189420778932
pgout,0.0008663343281945475
lwrite,0.0006730069394372417
pgscan,0.0004638963180047194
atch,0.0002910974942560347
