feature,importance_rf
y,0.2973678452949318
x,0.22864422861574354
carat,0.22854864174470765
z,0.15567583112867858
clarity_SI2,0.015179985702760097
color_J,0.009103407096985792
clarity_VVS2,0.008263999126224744
clarity_SI1,0.0073607903908778066
color_I,0.006468922541146255
clarity_IF,0.005741061561462646
clarity_VVS1,0.005736932307932157
depth,0.004847407700036745
clarity_VS1,0.004379283972799632
color_H,0.0043411374572799285
clarity_VS2,0.004286342431812711
color_G,0.0033743212122543504
table,0.003227472915968951
color_F,0.0024902565410273155
color_E,0.0023091189549165215
cut_Ideal,0.001325174931710396
cut_Premium,0.0007982929100854753
cut_Very Good,0.0002988684938273458
cut_Good,0.0002306769668295626
