feature,importance_rf
SaTime1,0.161726968431438
diffRollRate,0.15810405322864454
SaTime2,0.12211250466785006
absRoll,0.11271997801588665
SaTime3,0.10885824600426529
Sa,0.078385230012118
SaTime4,0.05375174945163068
climbRate,0.044124675192368984
curRoll,0.04370927151077088
p,0.03361675806877666
q,0.0262478844949507
diffDiffClb,0.01760502730257884
diffClb,0.01753551735503737
Sgz,0.017040881688570614
diffSaTime1,0.0031582760626253383
diffSaTime3,0.0013029785124875114
diffSaTime2,0.0
diffSaTime4,0.0
