feature,importance_rf
Turbine_Injection_Control,0.11614237302069809
Gas_Turbine_rate_of_revolutions,0.11607288181205584
Port_Propeller_Torque,0.11137948031608996
HP_Turbine_exit_temperature,0.10937750392179554
Starboard_Propeller_Torque,0.10924735447338162
Gas_Generator_rate_of_revolutions,0.08502012198141987
Gas_Turbine_exhaust_gas_pressure,0.08287385374090331
Lever_position,0.07794574098231656
Gas_Turbine_shaft_torque,0.06135946422291671
GT_Compressor_outlet_air_pressure,0.04734501121224124
GT_Compressor_outlet_air_temperature,0.042302040438954025
HP_Turbine_exit_pressure,0.02423690235773393
Ship_speed_24.0,0.009973193977290667
Ship_speed_21.0,0.002835904018776645
Ship_speed_27.0,0.0021270833306332054
Ship_speed_15.0,0.001014587891579991
Ship_speed_18.0,0.0003461778823816684
Ship_speed_12.0,0.00030004081549300305
GT_Turbine_decay_state_coefficient,5.5368545235471615e-05
GT_Compressor_decay_state_coefficient,3.071035259855415e-05
Ship_speed_9.0,9.459318431490894e-06
Ship_speed_6.0,4.745387072752629e-06
GT_Compressor_inlet_air_pressure,0.0
GT_Compressor_inlet_air_temperature,0.0
