feature,importance_rf
age,0.412765186239952
DFA,0.1169725381773714
HNR,0.05360668924695299
Jitter(Abs),0.051840221164336536
RPDE,0.04805828191252229
PPE,0.04629099166803129
sex_1,0.03564107372710977
NHR,0.03131202619409987
Shimmer:APQ11,0.025170386551703818
Shimmer:DDA,0.02170076350498354
Shimmer:APQ3,0.02150410216674833
Shimmer:APQ5,0.02117967528830949
Jitter:PPQ5,0.02035975871064623
Shimmer,0.019629148891826938
Jitter(%),0.019426518646077515
Jitter:DDP,0.018860974106340373
Jitter:RAP,0.018610561657031656
Shimmer(dB),0.017071102145955995
