"displacement","cylinders","horsepower","weight","acceleration","model_year","origin"
307,8,130,3504,12,70,1
350,8,165,3693,11.5,70,1
318,8,150,3436,11,70,1
304,8,150,3433,12,70,1
302,8,140,3449,10.5,70,1
429,8,198,4341,10,70,1
454,8,220,4354,9,70,1
440,8,215,4312,8.5,70,1
455,8,225,4425,10,70,1
390,8,190,3850,8.5,70,1
383,8,170,3563,10,70,1
340,8,160,3609,8,70,1
400,8,150,3761,9.5,70,1
455,8,225,3086,10,70,1
113,4,95,2372,15,70,3
198,6,95,2833,15.5,70,1
199,6,97,2774,15.5,70,1
200,6,85,2587,16,70,1
97,4,88,2130,14.5,70,3
97,4,46,1835,20.5,70,2
110,4,87,2672,17.5,70,2
107,4,90,2430,14.5,70,2
104,4,95,2375,17.5,70,2
121,4,113,2234,12.5,70,2
199,6,90,2648,15,70,1
360,8,215,4615,14,70,1
307,8,200,4376,15,70,1
318,8,210,4382,13.5,70,1
304,8,193,4732,18.5,70,1
97,4,88,2130,14.5,71,3
140,4,90,2264,15.5,71,1
113,4,95,2228,14,71,3
98,4,104.469387755102,2046,19,71,1
232,6,100,2634,13,71,1
225,6,105,3439,15.5,71,1
250,6,100,3329,15.5,71,1
250,6,88,3302,15.5,71,1
232,6,100,3288,15.5,71,1
350,8,165,4209,12,71,1
400,8,175,4464,11.5,71,1
351,8,153,4154,13.5,71,1
318,8,150,4096,13,71,1
383,8,180,4955,11.5,71,1
400,8,170,4746,12,71,1
400,8,175,5140,12,71,1
258,6,110,2962,13.5,71,1
140,4,72,2408,19,71,1
250,6,100,3282,15,71,1
250,6,88,3139,14.5,71,1
122,4,86,2220,14,71,1
116,4,90,2123,14,71,2
79,4,70,2074,19.5,71,2
88,4,76,2065,14.5,71,2
71,4,65,1773,19,71,3
72,4,69,1613,18,71,3
97,4,60,1834,19,71,2
91,4,70,1955,20.5,71,1
113,4,95,2278,15.5,72,3
97.5,4,80,2126,17,72,1
97,4,54,2254,23.5,72,2
140,4,90,2408,19.5,72,1
122,4,86,2226,16.5,72,1
350,8,165,4274,12,72,1
400,8,175,4385,12,72,1
318,8,150,4135,13.5,72,1
351,8,153,4129,13,72,1
304,8,150,3672,11.5,72,1
429,8,208,4633,11,72,1
350,8,155,4502,13.5,72,1
350,8,160,4456,13.5,72,1
400,8,190,4422,12.5,72,1
70,3,97,2330,13.5,72,3
304,8,150,3892,12.5,72,1
307,8,130,4098,14,72,1
302,8,140,4294,16,72,1
318,8,150,4077,14,72,1
121,4,112,2933,14.5,72,2
121,4,76,2511,18,72,2
120,4,87,2979,19.5,72,2
96,4,69,2189,18,72,2
122,4,86,2395,16,72,1
97,4,92,2288,17,72,3
120,4,97,2506,14.5,72,3
98,4,80,2164,15,72,1
97,4,88,2100,16.5,72,3
350,8,175,4100,13,73,1
304,8,150,3672,11.5,73,1
350,8,145,3988,13,73,1
302,8,137,4042,14.5,73,1
318,8,150,3777,12.5,73,1
429,8,198,4952,11.5,73,1
400,8,150,4464,12,73,1
351,8,158,4363,13,73,1
318,8,150,4237,14.5,73,1
440,8,215,4735,11,73,1
455,8,225,4951,11,73,1
360,8,175,3821,11,73,1
225,6,105,3121,16.5,73,1
250,6,100,3278,18,73,1
232,6,100,2945,16,73,1
250,6,88,3021,16.5,73,1
198,6,95,2904,16,73,1
97,4,46,1950,21,73,2
400,8,150,4997,14,73,1
400,8,167,4906,12.5,73,1
360,8,170,4654,13,73,1
350,8,180,4499,12.5,73,1
232,6,100,2789,15,73,1
97,4,88,2279,19,73,3
140,4,72,2401,19.5,73,1
108,4,94,2379,16.5,73,3
70,3,90,2124,13.5,73,3
122,4,85,2310,18.5,73,1
155,6,107,2472,14,73,1
98,4,90,2265,15.5,73,2
350,8,145,4082,13,73,1
400,8,230,4278,9.5,73,1
68,4,49,1867,19.5,73,2
116,4,75,2158,15.5,73,2
114,4,91,2582,14,73,2
121,4,112,2868,15.5,73,2
318,8,150,3399,11,73,1
121,4,110,2660,14,73,2
156,6,122,2807,13.5,73,3
350,8,180,3664,11,73,1
198,6,95,3102,16.5,74,1
200,6,104.469387755102,2875,17,74,1
232,6,100,2901,16,74,1
250,6,100,3336,17,74,1
79,4,67,1950,19,74,3
122,4,80,2451,16.5,74,1
71,4,65,1836,21,74,3
140,4,75,2542,17,74,1
250,6,100,3781,17,74,1
258,6,110,3632,18,74,1
225,6,105,3613,16.5,74,1
302,8,140,4141,14,74,1
350,8,150,4699,14.5,74,1
318,8,150,4457,13.5,74,1
302,8,140,4638,16,74,1
