"price","highway-mpg","city-mpg","peak-rpm","horsepower","compression-ratio","stroke","bore","fuel-system","engine-size","num-of-cylinders","engine-type","curb-weight","height","width","length","wheel-base","engine-location","drive-wheels","body-style","num-of-doors","aspiration","fuel-type","make","normalized-losses"
13495,27,21,5000,111,9,2.68,3.47,6,130,4,1,2548,48.8,64.1,168.8,88.6,1,3,1,2,1,2,1,122
16500,27,21,5000,111,9,2.68,3.47,6,130,4,1,2548,48.8,64.1,168.8,88.6,1,3,1,2,1,2,1,122
16500,26,19,5000,154,9,3.47,2.68,6,152,6,6,2823,52.4,65.5,171.2,94.5,1,3,3,2,1,2,1,122
13950,30,24,5500,102,10,3.4,3.19,6,109,4,4,2337,54.3,66.2,176.6,99.8,1,2,4,4,1,2,2,164
17450,22,18,5500,115,8,3.4,3.19,6,136,5,4,2824,54.3,66.4,176.6,99.4,1,1,4,4,1,2,2,164
15250,25,19,5500,110,8.5,3.4,3.19,6,136,5,4,2507,53.1,66.3,177.3,99.8,1,2,4,2,1,2,2,122
17710,25,19,5500,110,8.5,3.4,3.19,6,136,5,4,2844,55.7,71.4,192.7,105.8,1,2,4,4,1,2,2,158
18920,25,19,5500,110,8.5,3.4,3.19,6,136,5,4,2954,55.7,71.4,192.7,105.8,1,2,5,4,1,2,2,122
23875,20,17,5500,140,8.3,3.4,3.13,6,131,5,4,3086,55.9,71.4,192.7,105.8,1,2,4,4,2,2,2,158
13207.1293532338,22,16,5500,160,7,3.4,3.13,6,131,5,4,3053,52,67.9,178.2,99.5,1,1,3,2,2,2,2,122
16430,29,23,5800,101,8.8,2.8,3.5,6,108,4,4,2395,54.3,64.8,176.8,101.2,1,3,4,2,1,2,3,192
16925,29,23,5800,101,8.8,2.8,3.5,6,108,4,4,2395,54.3,64.8,176.8,101.2,1,3,4,4,1,2,3,192
20970,28,21,4250,121,9,3.19,3.31,6,164,6,4,2710,54.3,64.8,176.8,101.2,1,3,4,2,1,2,3,188
21105,28,21,4250,121,9,3.19,3.31,6,164,6,4,2765,54.3,64.8,176.8,101.2,1,3,4,4,1,2,3,188
24565,25,20,4250,121,9,3.19,3.31,6,164,6,4,3055,55.7,66.9,189,103.5,1,3,4,4,1,2,3,122
30760,22,16,5400,182,8,3.39,3.62,6,209,6,4,3230,55.7,66.9,189,103.5,1,3,4,4,1,2,3,122
41315,22,16,5400,182,8,3.39,3.62,6,209,6,4,3380,53.7,67.9,193.8,103.5,1,3,4,2,1,2,3,122
36880,20,15,5400,182,8,3.39,3.62,6,209,6,4,3505,56.3,70.9,197,110,1,3,4,4,1,2,3,122
5151,53,47,5100,48,9.5,3.03,2.91,2,61,3,3,1488,53.2,60.3,141.1,88.4,1,2,3,2,1,2,4,121
6295,43,38,5400,70,9.6,3.11,3.03,2,90,4,4,1874,52,63.6,155.9,94.5,1,2,3,2,1,2,4,98
6575,43,38,5400,70,9.6,3.11,3.03,2,90,4,4,1909,52,63.6,158.8,94.5,1,2,4,4,1,2,4,81
5572,41,37,5500,68,9.41,3.23,2.97,2,90,4,4,1876,50.8,63.8,157.3,93.7,1,2,3,2,1,2,5,118
6377,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1876,50.8,63.8,157.3,93.7,1,2,3,2,1,2,5,118
7957,30,24,5500,102,7.6,3.39,3.03,6,98,4,4,2128,50.8,63.8,157.3,93.7,1,2,3,2,2,2,5,118
6229,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1967,50.6,63.8,157.3,93.7,1,2,3,4,1,2,5,148
6692,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1989,50.6,63.8,157.3,93.7,1,2,4,4,1,2,5,148
7609,38,31,5500,68,9.4,3.23,2.97,2,90,4,4,1989,50.6,63.8,157.3,93.7,1,2,4,4,1,2,5,148
8558,30,24,5500,102,7.6,3.39,3.03,6,98,4,4,2191,50.6,63.8,157.3,93.7,1,2,4,3.12315270935961,2,2,5,148
8921,30,24,5000,88,8.5,3.46,3.34,2,122,4,4,2535,59.8,64.6,174.6,103.3,1,2,5,4,1,2,5,110
