"year","month","day","hour","DEWP","TEMP","PRES","cbwd","Iws","Is","Ir"
2010,1,2,0,-16,-4,1020,4,1.79,0,0
2010,1,2,1,-15,-4,1020,4,2.68,0,0
2010,1,2,2,-11,-5,1021,4,3.57,0,0
2010,1,2,3,-7,-5,1022,4,5.36,1,0
2010,1,2,4,-7,-5,1022,4,6.25,2,0
2010,1,2,5,-7,-6,1022,4,7.14,3,0
2010,1,2,6,-7,-6,1023,4,8.93,4,0
2010,1,2,7,-7,-5,1024,4,10.72,0,0
2010,1,2,8,-8,-6,1024,4,12.51,0,0
2010,1,2,9,-7,-5,1025,4,14.3,0,0
2010,1,2,10,-7,-5,1026,4,17.43,1,0
2010,1,2,11,-8,-5,1026,4,20.56,0,0
2010,1,2,12,-8,-5,1026,4,23.69,0,0
2010,1,2,13,-8,-5,1025,4,27.71,0,0
2010,1,2,14,-9,-5,1025,4,31.73,0,0
2010,1,2,15,-9,-5,1025,4,35.75,0,0
2010,1,2,16,-9,-5,1026,4,37.54,0,0
2010,1,2,17,-8,-5,1027,4,39.33,0,0
2010,1,2,18,-8,-5,1027,4,42.46,0,0
2010,1,2,19,-8,-5,1028,4,44.25,0,0
2010,1,2,20,-7,-5,1028,4,46.04,0,0
2010,1,2,21,-7,-5,1027,4,49.17,1,0
2010,1,2,22,-8,-6,1028,4,52.3,2,0
2010,1,2,23,-8,-6,1027,4,55.43,3,0
2010,1,3,0,-7,-6,1027,4,58.56,4,0
2010,1,3,1,-8,-6,1026,4,61.69,5,0
2010,1,3,2,-8,-7,1026,4,65.71,6,0
2010,1,3,3,-8,-7,1025,4,68.84,7,0
2010,1,3,4,-8,-7,1024,4,72.86,8,0
2010,1,3,5,-9,-8,1024,4,76.88,9,0
2010,1,3,6,-10,-8,1024,4,80.9,10,0
2010,1,3,7,-10,-9,1024,4,84.92,11,0
2010,1,3,8,-10,-9,1024,4,89.84,12,0
2010,1,3,9,-11,-9,1023,4,93.86,13,0
2010,1,3,10,-11,-9,1023,4,97.88,15,0
2010,1,3,11,-11,-9,1022,4,102.8,16,0
2010,1,3,12,-11,-9,1021,4,105.93,17,0
2010,1,3,13,-11,-9,1020,4,111.74,19,0
2010,1,3,14,-11,-9,1020,4,116.66,20,0
2010,1,3,15,-11,-9,1020,4,121.58,21,0
2010,1,3,16,-11,-9,1020,4,124.71,22,0
2010,1,3,17,-11,-9,1020,4,127.84,23,0
2010,1,3,18,-11,-9,1021,1,0.89,24,0
2010,1,3,19,-11,-9,1022,1,1.78,25,0
2010,1,3,20,-10,-9,1022,3,4.02,26,0
2010,1,3,21,-11,-10,1023,3,7.15,27,0
2010,1,3,22,-11,-9,1023,3,11.17,0,0
2010,1,3,23,-12,-11,1023,3,14.3,0,0
2010,1,4,0,-14,-12,1023,3,16.09,0,0
2010,1,4,1,-16,-9,1023,3,21.9,0,0
2010,1,4,2,-17,-10,1024,3,29.95,0,0
2010,1,4,3,-18,-11,1024,3,39.78,0,0
2010,1,4,4,-19,-11,1025,3,48.72,0,0
2010,1,4,5,-20,-12,1026,3,55.87,0,0
2010,1,4,6,-21,-12,1027,3,64.81,0,0
2010,1,4,7,-21,-13,1027,3,73.75,0,0
2010,1,4,8,-22,-13,1028,3,80.9,0,0
2010,1,4,9,-22,-13,1029,3,90.73,0,0
2010,1,4,10,-22,-12,1030,3,100.56,0,0
2010,1,4,11,-23,-12,1031,3,108.61,0,0
2010,1,4,12,-21,-11,1030,3,117.55,0,0
2010,1,4,13,-20,-10,1030,3,127.38,0,0
2010,1,4,14,-21,-10,1030,3,136.32,0,0
2010,1,4,15,-21,-9,1030,3,145.26,0,0
2010,1,4,16,-21,-9,1031,3,152.41,0,0
2010,1,4,17,-20,-11,1032,3,159.56,0,0
2010,1,4,18,-23,-11,1032,3,165.37,0,0
2010,1,4,19,-21,-12,1033,3,171.18,0,0
2010,1,4,20,-24,-12,1034,3,180.12,0,0
2010,1,4,21,-24,-13,1034,3,187.27,0,0
2010,1,4,22,-24,-13,1035,3,195.32,0,0
2010,1,4,23,-26,-15,1035,3,198.45,0,0
2010,1,5,0,-26,-17,1035,3,201.58,0,0
2010,1,5,1,-26,-18,1035,3,205.6,0,0
2010,1,5,2,-26,-19,1035,3,208.73,0,0
2010,1,5,3,-27,-18,1035,3,213.65,0,0
2010,1,5,4,-27,-19,1035,3,218.57,0,0
2010,1,5,5,-27,-16,1034,2,4.92,0,0
2010,1,5,6,-26,-16,1035,2,8.05,0,0
2010,1,5,7,-27,-16,1034,2,13.86,0,0
2010,1,5,8,-26,-16,1035,2,18.78,0,0
2010,1,5,9,-26,-15,1035,2,24.59,0,0
2010,1,5,10,-25,-14,1035,2,29.51,0,0
2010,1,5,11,-25,-13,1035,2,34.43,0,0
2010,1,5,12,-25,-12,1034,2,39.35,0,0
2010,1,5,13,-24,-11,1032,2,41.14,0,0
2010,1,5,14,-22,-11,1032,1,0.89,0,0
2010,1,5,15,-23,-11,1031,3,1.79,0,0
2010,1,5,16,-24,-11,1031,3,3.58,0,0
2010,1,5,17,-23,-11,1031,3,5.37,0,0
2010,1,5,18,-23,-11,1032,3,7.16,0,0
2010,1,5,19,-22,-13,1033,3,10.29,0,0
2010,1,5,20,-22,-12,1033,3,13.42,0,0
2010,1,5,21,-24,-18,1033,3,16.55,0,0
2010,1,5,22,-22,-13,1034,3,20.57,0,0
2010,1,5,23,-22,-16,1033,3,23.7,0,0
2010,1,6,0,-25,-17,1033,3,26.83,0,0
2010,1,6,1,-25,-14,1033,2,4.02,0,0
2010,1,6,2,-26,-14,1034,2,8.04,0,0
2010,1,6,3,-26,-14,1033,2,13.85,0,0
2010,1,6,4,-26,-14,1033,2,17.87,0,0
2010,1,6,5,-26,-14,1033,2,23.68,0,0
2010,1,6,6,-26,-14,1033,2,28.6,0,0
2010,1,6,7,-26,-15,1034,2,33.52,0,0
2010,1,6,8,-26,-14,1034,2,39.33,0,0
2010,1,6,9,-25,-13,1035,2,44.25,0,0
2010,1,6,10,-25,-12,1035,2,50.06,0,0
2010,1,6,11,-24,-11,1035,2,54.98,0,0
2010,1,6,12,-24,-10,1034,2,59,0,0
2010,1,6,13,-22,-10,1033,3,4.02,0,0
2010,1,6,14,-22,-9,1033,3,5.81,0,0
2010,1,6,15,-22,-8,1033,1,0.89,0,0
2010,1,6,16,-22,-8,1033,3,1.79,0,0
2010,1,6,17,-21,-9,1033,3,3.58,0,0
2010,1,6,18,-22,-9,1033,3,5.37,0,0
2010,1,6,19,-22,-14,1034,1,0.89,0,0
2010,1,6,20,-22,-12,1035,3,1.79,0,0
2010,1,6,21,-21,-14,1034,3,3.58,0,0
2010,1,6,22,-22,-16,1035,3,5.37,0,0
2010,1,6,23,-21,-16,1035,3,7.16,0,0
2010,1,7,0,-21,-16,1035,3,8.95,0,0
2010,1,7,1,-21,-16,1035,1,0.45,0,0
2010,1,7,2,-22,-18,1036,1,1.34,0,0
2010,1,7,3,-23,-15,1036,3,4.02,0,0
2010,1,7,4,-24,-16,1035,3,7.15,0,0
2010,1,7,5,-25,-15,1035,3,10.28,0,0
2010,1,7,6,-24,-15,1035,3,14.3,0,0
2010,1,7,7,-25,-13,1036,2,4.92,0,0
2010,1,7,8,-24,-14,1036,3,4.02,0,0
2010,1,7,9,-23,-12,1036,3,8.94,0,0
2010,1,7,10,-22,-11,1036,3,12.96,0,0
2010,1,7,11,-20,-10,1036,3,16.09,0,0
2010,1,7,12,-21,-9,1035,3,19.22,0,0
2010,1,7,13,-21,-8,1034,3,21.01,0,0
2010,1,7,14,-20,-7,1033,3,22.8,0,0
2010,1,7,15,-20,-7,1032,3,24.59,0,0
2010,1,7,16,-18,-8,1032,3,26.38,0,0
2010,1,7,17,-19,-9,1032,3,28.17,0,0
2010,1,7,18,-19,-11,1032,2,0.89,0,0
2010,1,7,19,-18,-11,1033,3,1.79,0,0
2010,1,7,20,-19,-15,1032,2,1.79,0,0
2010,1,7,21,-19,-14,1032,1,0.45,0,0
2010,1,7,22,-21,-14,1032,1,1.34,0,0
2010,1,7,23,-21,-16,1032,1,2.23,0,0
2010,1,8,0,-21,-17,1031,3,1.79,0,0
2010,1,8,1,-19,-16,1031,3,3.58,0,0
2010,1,8,2,-20,-16,1031,2,0.89,0,0
2010,1,8,3,-19,-15,1030,4,0.89,0,0
2010,1,8,4,-18,-15,1030,1,0.45,0,0
