"holiday","temp","rain_1h","snow_1h","clouds_all","weather_main","weather_description","date_time"
8,288.28,0,0,40,2,23,1
8,289.36,0,0,75,2,1,2
8,289.58,0,0,90,2,18,3
8,290.13,0,0,90,2,18,4
8,291.14,0,0,75,2,1,5
8,291.72,0,0,1,1,26,6
8,293.17,0,0,1,1,26,7
8,293.86,0,0,1,1,26,8
8,294.14,0,0,20,2,3,9
8,293.1,0,0,20,2,3,10
8,290.97,0,0,20,2,3,11
8,289.38,0,0,1,1,26,12
8,288.61,0,0,1,1,26,13
8,287.16,0,0,1,1,26,14
8,285.45,0,0,1,1,26,15
8,284.63,0,0,1,1,26,16
8,283.47,0,0,1,1,26,17
8,281.18,0,0,1,1,26,18
8,281.09,0,0,1,1,26,19
8,279.53,0,0,1,1,26,20
8,278.62,0,0,1,1,26,21
8,278.23,0,0,1,1,26,22
8,278.12,0,0,1,1,26,23
8,282.48,0,0,1,1,26,24
8,291.97,0,0,1,1,26,25
8,293.23,0,0,1,1,26,26
8,294.31,0,0,1,1,26,27
8,295.17,0,0,1,1,26,28
8,295.13,0,0,1,1,26,29
8,293.66,0,0,20,2,3,30
8,290.65,0,0,20,2,3,31
8,288.19,0,0,20,2,3,32
8,287.1,0,0,1,1,26,33
8,286.25,0,0,1,1,26,34
8,285.26,0,0,1,1,26,35
8,284.55,0,0,1,1,26,36
8,283.47,0,0,1,1,26,37
8,283.17,0,0,1,1,26,38
8,282.04,0,0,1,1,26,39
8,281.69,0,0,1,1,26,40
8,281.32,0,0,1,1,26,41
8,280.74,0,0,1,1,26,42
8,280.57,0,0,1,1,26,43
8,281.86,0,0,1,1,26,44
8,284.98,0,0,1,1,26,45
8,289.18,0,0,1,1,26,46
8,291.55,0,0,1,1,26,47
8,294.97,0,0,1,1,26,48
8,296.38,0,0,1,1,26,49
8,297.32,0,0,1,1,26,50
8,298.17,0,0,1,1,26,51
8,298.06,0,0,20,2,3,52
8,297.67,0,0,20,2,3,53
8,296.36,0,0,40,2,23,54
8,293.85,0,0,40,2,23,55
8,292.43,0,0,40,2,23,56
8,291.77,0,0,75,2,1,57
8,291.36,0,0,75,2,1,58
8,291.12,0,0,75,2,1,59
8,290.63,0,0,75,2,1,60
8,290.46,0,0,40,2,23,61
8,289.26,0,0,0,1,26,62
8,283.21,0,0,75,2,1,63
8,282.24,0,0,90,2,18,64
8,281.69,0,0,90,2,18,65
8,280.57,0,0,90,2,18,66
8,280.02,0,0,75,2,1,67
8,280.11,0,0,75,2,1,68
8,280,0,0,90,2,18,69
8,280.53,0,0,90,2,18,70
8,281.43,0,0,75,2,1,71
8,281.78,0,0,90,2,18,72
8,281.91,0,0,90,2,18,73
8,281.73,0,0,90,2,18,74
8,281.42,0,0,90,2,18,75
8,280.87,0,0,90,2,18,76
8,280.15,0,0,90,2,18,77
8,279.78,0,0,90,2,18,78
8,279.65,0,0,75,2,1,79
8,279.22,0,0,40,2,23,80
8,279.06,0,0,40,2,23,81
8,278.81,0,0,90,2,18,82
8,278.55,0,0,90,2,18,83
8,278.59,0,0,90,2,18,84
8,276.99,0,0,75,2,1,85
8,276.35,0,0,20,2,3,86
8,275.4,0,0,1,1,26,87
8,275.17,0,0,1,1,26,88
8,274.99,0,0,1,1,26,89
8,275.09,0,0,40,2,23,90
8,276.88,0,0,20,2,3,91
8,278.04,0,0,20,2,3,92
8,279.08,0,0,40,2,23,93
8,280.12,0,0,75,2,1,94
8,280.25,0,0,75,2,1,95
8,280,0,0,75,2,1,96
8,279.06,0,0,90,2,18,97
8,278.91,0,0,90,2,18,98
8,278.39,0,0,90,2,18,99
8,278.16,0,0,90,2,18,100
8,278.16,0,0,90,2,18,101
8,277.93,0,0,90,2,18,102
8,276.9,0,0,90,2,18,103
8,276.34,0,0,75,2,1,104
8,276.11,0,0,75,2,1,105
8,275.73,0,0,90,2,18,106
8,275.65,0,0,90,2,18,107
8,275.51,0,0,75,2,1,108
8,275.05,0,0,90,2,18,109
8,274.77,0,0,90,2,18,110
8,274.77,0,0,75,2,1,111
8,275.55,0,0,75,2,1,112
8,276.24,0,0,75,2,1,113
8,277.01,0,0,90,2,18,114
8,277.43,0,0,90,2,18,115
8,278.45,0,0,90,2,18,116
8,279.27,0,0,90,2,18,117
8,279.27,0,0,90,2,18,118
8,279.44,0,0,90,2,18,119
8,279.32,0,0,90,2,18,120
8,279.27,0,0,90,2,18,121
8,278.11,0,0,90,2,18,122
8,276.79,0,0,75,2,1,123
8,275.73,0,0,90,2,18,124
8,274.88,0,0,75,2,1,125
8,273.92,0,0,20,2,3,126
2,273.08,0,0,20,2,3,127
8,272.62,0,0,20,2,3,128
8,271.78,0,0,1,1,26,129
8,271.05,0,0,1,1,26,130
8,270.63,0,0,1,1,26,131
8,270.33,0,0,1,1,26,132
8,269.61,0,0,20,2,3,133
8,270.01,0,0,20,2,3,134
8,271.23,0,0,20,2,3,135
8,273.71,0,0,20,2,3,136
8,276.77,0,0,20,2,3,137
8,279.47,0,0,20,2,3,138
8,279.84,0,0,1,1,26,139
8,282.34,0,0,40,2,23,140
8,282.94,0,0,40,2,23,141
8,283.48,0,0,1,1,26,142
8,284.33,0,0,1,1,26,143
8,284.48,0,0,40,2,23,144
8,284.23,0,0,40,2,23,145
8,281.99,0,0,20,2,3,146
8,279.81,0,0,1,1,26,147
8,279.35,0,0,1,1,26,148
8,278.9,0,0,1,1,26,149
8,278.46,0,0,1,1,26,150
8,277.78,0,0,1,1,26,151
8,277.27,0,0,1,1,26,152
8,277.47,0,0,1,1,26,153
8,276.97,0,0,20,2,3,154
8,276.52,0,0,40,2,23,155
8,276.6,0,0,40,2,23,156
8,277.31,0,0,75,2,1,157
8,278.38,0,0,90,2,18,158
8,279.35,0,0,90,2,18,159
8,281.37,0,0,90,2,18,160
8,283.11,0,0,90,2,18,161
8,284.08,0,0,75,2,1,162
8,285.14,0,0,75,2,1,163
8,286.35,0,0,90,2,18,164
8,287.23,0,0,100,7,12,165
8,288.53,0,0,90,2,18,166
8,290.37,0,0,90,2,18,167
8,290.13,0,0,90,2,18,168
8,288.86,0,0,75,2,1,169
8,287.36,0,0,90,2,18,170
8,285.11,0,0,90,2,18,171
8,283.46,0,0,90,2,18,172
8,282.45,0,0,90,2,18,173
8,281.88,0,0,90,2,18,174
8,281.78,0,0,90,2,18,175
8,281.09,0,0,75,2,1,176
8,281.17,0,0,90,2,18,177
8,281.25,0,0,92,1,26,178
8,281.25,0,0,99,7,12,179
8,281.25,0,0,99,3,10,179
8,280.1,0,0,99,7,12,180
8,280.1,0,0,99,3,10,180
8,279.61,0,0,99,7,12,181
8,279.61,0,0,99,3,10,181
8,279.67,0,0,99,1,26,182
8,280.19,0,0,1,1,26,183
8,282.09,0,0,75,2,1,184
8,282.26,0,0,75,2,1,185
8,282.05,0,0,90,2,18,186
8,281.59,0,0,90,2,18,187
8,281.23,0,0,81,1,26,188
8,282.6,0,0,81,1,26,189
8,282.6,0,0,81,1,26,190
8,282.6,0,0,81,1,26,191
8,282.6,0,0,81,1,26,192
8,282.6,0,0,81,1,26,193
8,282.6,0,0,81,1,26,194
8,273.9,0,0,1,1,26,195
8,274.4,0,0,75,2,1,196
8,274.05,0,0,75,2,1,197
8,273.71,0,0,40,2,23,198
8,272.66,0,0,1,1,26,199
8,272.65,0,0,1,1,26,200
8,272.52,0,0,1,1,26,201
8,275.19,0,0,20,2,3,202
8,275.34,0,0,1,1,26,203
8,284.1,0,0,50,1,26,204
8,284.1,0,0,50,1,26,205
8,283.78,0,0,75,2,1,206
