"DateTime","Temperature","Humidity","Wind Speed","general diffuse flows","diffuse flows"
1,6.559,73.8,0.083,0.051,0.119
2,6.414,74.5,0.083,0.07,0.085
3,6.313,74.5,0.08,0.062,0.1
4,6.121,75,0.083,0.091,0.096
5,5.921,75.7,0.081,0.048,0.085
6,5.853,76.9,0.081,0.059,0.108
7,5.641,77.7,0.08,0.048,0.096
8,5.496,78.2,0.085,0.055,0.093
9,5.678,78.1,0.081,0.066,0.141
10,5.491,77.3,0.082,0.062,0.111
11,5.516,77.5,0.081,0.051,0.108
12,5.471,76.7,0.083,0.059,0.126
73,5.059,78.6,0.081,0.07,0.096
74,4.968,78.8,0.084,0.07,0.134
75,4.975,78.9,0.083,0.055,0.152
76,4.897,79.1,0.083,0.07,0.096
77,5.02,79.7,0.081,0.051,0.134
78,5.407,78.5,0.082,0.062,0.163
103,5.169,77.9,0.083,0.066,0.108
104,5.081,77.7,0.084,0.051,0.13
105,5.041,77.2,0.081,0.062,0.152
106,5.034,76.9,0.083,0.051,0.185
107,4.896,76.6,0.085,0.07,0.137
108,4.805,76.2,0.081,0.059,0.134
109,4.753,75.7,0.083,0.044,0.134
110,4.901,74.4,0.083,0.07,0.122
111,5.203,74.1,0.085,0.062,0.096
112,5.394,71.9,0.081,0.073,0.1
113,5.156,74,0.079,0.062,0.148
114,5.179,74.2,0.083,0.037,0.137
115,4.934,72.9,0.082,0.055,0.134
116,4.718,75.8,0.08,0.051,0.152
117,5.546,74,0.082,0.055,0.093
118,4.658,73.5,0.08,0.044,0.104
119,4.382,76.9,0.081,0.073,0.148
120,4.212,78.3,0.081,0.117,0.082
121,4.308,77.2,0.081,0.062,0.126
122,4.735,74.3,0.08,0.04,0.156
123,4.769,75.6,0.082,0.099,0.063
124,4.92,73.7,0.083,0.099,0.096
125,4.408,76.7,0.082,0.037,0.119
126,4.29,77,0.085,0.033,0.193
127,4.304,76,0.082,0.048,0.152
128,4.513,74.6,0.084,0.055,0.134
129,4.489,74.3,0.082,0.081,0.119
130,4.356,72.3,0.082,0.07,0.119
131,4.478,72.2,0.083,0.073,0.089
132,4.583,71,0.083,0.066,0.104
133,4.794,72,0.084,0.187,0.145
134,4.807,73.1,0.082,0.955,0.949
135,4.757,73.5,0.083,3.188,3.134
136,4.509,74.5,0.084,6.643,6.494
137,4.346,74.8,0.082,12.64,10.13
138,4.718,73.7,0.081,58.97,17
139,4.704,71.8,0.083,82.5,20.15
140,4.624,74.1,0.082,106.9,22.55
141,4.629,74.8,0.083,132.1,24.3
142,4.599,74,0.082,156.1,26.9
143,4.524,74.7,0.081,182.4,28.19
144,4.575,74.5,0.082,208.8,29.2
13,5.124,73.7,0.076,234.8,29.23
14,5.836,71.3,2.66,257.9,31.01
15,5.996,69.85,4.93,282.7,31.96
16,6.22,68.81,4.924,307,32.42
17,6.703,68.01,4.923,327.6,33.22
18,6.993,66.14,4.918,349.6,33.41
19,7.54,64.21,4.916,371.1,33.43
20,8.22,61.9,4.916,388.2,33.89
21,9.49,59.3,2.451,401.3,34.4
22,10.65,56.03,0.084,419.5,35.29
23,11.06,53.52,0.082,430.9,37.58
24,12.4,53.26,0.08,437.5,43.46
25,13.08,54.36,0.077,450.4,43.2
26,14.38,54.42,0.076,470.5,37.92
27,15.02,56.46,0.074,480,38.81
28,15.55,58.7,0.075,486.1,39.46
29,15.56,59.23,0.076,490.2,40.92
30,15.49,59.3,0.076,495.9,40.9
31,15.57,58.06,0.077,498.1,40.94
32,15.65,58.7,0.077,498.1,42.75
33,15.73,59.33,0.076,498.8,44.65
34,15.68,58.6,0.079,497,44.26
35,15.7,55.29,0.074,489.2,39.32
36,15.75,52.45,0.077,482.4,38.65
37,15.83,54.99,0.079,476.1,39.49
38,15.79,56.66,0.076,467.7,39.94
39,15.72,55.86,0.077,456.1,39.95
40,15.8,54.06,0.075,449.2,41.52
41,15.74,55.56,0.075,437.4,44.13
42,15.72,56.69,0.077,422,43.87
43,15.64,57.26,0.077,409,44.9
44,15.69,57.96,0.074,391.8,46.89
45,15.69,58.93,0.075,369.4,51.51
46,15.6,58.7,0.073,321,57.14
47,15.39,57.6,0.075,180.3,60.31
48,15.34,58.7,0.075,149.5,67.85
49,15.33,59.23,0.077,209.1,128.9
50,15.48,57.46,0.074,265.1,219.1
51,15.54,58.3,0.076,241.3,246
52,15.53,58.8,0.077,219,248.1
53,15.48,57.73,0.075,195.7,231.6
54,15.47,58.23,0.077,174.9,211.9
55,15.44,59.07,0.076,165.8,201.7
56,15.35,59.3,0.077,132,163
57,15.34,59,0.079,117.4,144.3
58,15.11,59.53,0.076,97.6,120.6
59,14.93,60.83,0.077,76.5,94
60,14.71,61.87,0.086,26.51,28.08
61,14.48,63.27,0.08,18,18.29
62,14.29,63.94,0.078,6.994,7.02
63,14.09,64.87,0.078,2.818,2.763
64,13.89,66.11,0.076,0.809,0.89
65,13.79,66.74,0.076,0.146,0.197
66,13.54,66.71,0.076,0.062,0.089
67,12.51,68.35,0.077,0.055,0.085
68,12.06,70.2,0.078,0.066,0.096
69,11.75,70.7,0.079,0.055,0.126
70,11.61,70.7,0.077,0.081,0.126
71,11.5,70.6,0.078,0.059,0.074
72,11.43,70.7,0.076,0.048,0.093
79,11.42,71.2,0.076,0.073,0.085
80,11.69,71.1,0.078,0.091,0.104
81,12.05,69.82,0.077,0.048,0.108
82,11.87,69.98,0.076,0.051,0.093
83,11.61,71.2,0.078,0.04,0.119
84,11.5,72,0.078,0.07,0.078
85,11.43,72,0.075,0.051,0.07
86,11.29,72.2,0.075,0.051,0.119
87,11.49,73.1,0.077,0.044,0.085
88,12.24,70.1,0.077,0.073,0.089
89,11.84,68.78,0.074,0.066,0.093
90,12.2,68.78,0.074,0.066,0.122
91,13.1,65.44,0.074,0.04,0.141
92,13.2,63.84,0.074,0.081,0.093
93,13.18,63.97,0.075,0.081,0.093
94,12.64,66.77,0.072,0.044,0.141
95,12.39,68.04,0.074,0.084,0.115
96,12.24,69.18,0.077,0.059,0.119
97,12.11,69.94,0.074,0.088,0.082
98,12.07,70.7,0.076,0.033,0.078
99,11.99,70.8,0.075,0.055,0.134
100,11.32,74.7,0.075,0.07,0.1
101,11.37,74.8,0.074,0.084,0.082
102,11.41,74.1,0.076,0.077,0.122
1585,11.01,75.8,0.076,0.033,0.163
1586,10.74,77.3,0.078,0.084,0.108
1587,10.47,78.2,0.078,0.088,0.13
1588,10.31,79.2,0.076,0.091,0.134
1589,10.63,79.3,0.079,0.037,0.152
1590,10.84,78.4,0.073,0.062,0.156
1591,10.94,78.1,0.074,0.084,0.108
1592,11.12,77.9,0.073,0.055,0.145
1593,11.02,77.5,0.081,0.062,0.178
1594,10.5,78.9,0.076,0.066,0.145
1595,10.22,79.8,0.078,0.088,0.126
1596,10.42,81.3,0.075,0.073,0.13
1657,10.86,80,0.076,0.066,0.159
1658,11.17,77.3,0.077,0.066,0.13
1659,11.1,75.6,0.077,0.077,0.156
1660,11.14,75,0.081,0.07,0.156
1661,11.21,75.2,0.077,0.062,0.137
1662,10.71,77.4,0.079,0.07,0.148
1687,10.7,77.7,0.079,0.062,0.159
1688,10.58,78.6,0.075,0.055,0.137
1689,10.59,79.5,0.078,0.084,0.145
1690,10.68,79.4,0.079,0.059,0.156
1691,10.52,79.8,0.076,0.066,0.145
1692,10.34,80.6,0.078,0.088,0.119
