"Large B/P","Large ROE","Large S/P","Large Return Rate in the last quarter","Large Market Value","Small systematic Risk","Annual Return","Excess Return","Systematic Risk","Total Risk","Abs. Win Rate","Rel. Win Rate"
1,0,0,0,0,0,54,103,1.33,116,11,12
0,1,0,0,0,0,62,103,1.17,35,11,22
0,0,1,0,0,0,101,143,1.3,109,9,11
0,0,0,1,0,0,278,6,1.39,109,7,8
0,0,0,0,1,0,278,74,1.04,200,16,13
0,0,0,0,0,1,262,10,1.1,43,4,7
0.5,0.5,0,0,0,0,129,174,0.97,22,17,21
0.5,0,0.5,0,0,0,89,133,1.32,116,10,11
0,0.5,0.5,0,0,0,116,162,1.06,38,12,22
0.5,0,0,0.5,0,0,69,129,1.05,52,14,11
0,0.5,0,0.5,0,0,78,129,1.17,55,12,21
0,0,0.5,0.5,0,0,96,143,1.16,77,13,15
0.5,0,0,0,0.5,0,55,108,1.09,32,14,16
0,0.5,0,0,0.5,0,37,98,1.01,204,10,23
0,0,0.5,0,0.5,0,64,120,1.07,15,14,15
0,0,0,0.5,0.5,0,276,3,1.15,38,11,10
0.5,0,0,0,0,0.5,30,100,0.97,38,13,10
0,0.5,0,0,0,0.5,73,138,0.99,8,12,20
0,0,0.5,0,0,0.5,51,120,1.04,53,9,14
0,0,0,0.5,0,0.5,18,78,1.12,74,7,9
0,0,0,0,0.5,0.5,277,74,1.01,213,8,10
0.333,0.333,0.333,0,0,0,125,169,1.08,60,14,22
0.333,0.333,0,0.333,0,0,113,166,0.98,11,16,16
0.333,0,0.333,0.333,0,0,89,138,1.14,79,14,9
0,0.333,0.333,0.333,0,0,114,162,1.07,38,14,19
0.333,0.333,0,0,0.333,0,66,129,0.95,216,15,20
0.333,0,0.333,0,0.333,0,95,138,1.17,74,12,17
0,0.333,0.333,0,0.333,0,65,126,0.99,219,12,18
0.333,0,0,0.333,0.333,0,40,103,0.99,231,13,13
0,0.333,0,0.333,0.333,0,38,93,1.09,8,12,17
0,0,0.333,0.333,0.333,0,51,114,1.04,1,12,18
0.333,0.333,0,0,0,0.333,96,169,0.82,224,17,15
0.333,0,0.333,0,0,0.333,45,114,1.07,65,9,12
0,0.333,0.333,0,0,0.333,116,169,0.98,22,12,17
0.333,0,0,0.333,0,0.333,40,108,0.94,8,11,14
0,0.333,0,0.333,0,0.333,75,138,0.99,15,10,16
0,0,0.333,0.333,0,0.333,77,133,1.07,53,10,12
0.333,0,0,0,0.333,0.333,51,126,0.96,8,14,14
0,0.333,0,0,0.333,0.333,51,114,0.97,204,9,20
0,0,0.333,0,0.333,0.333,57,126,0.95,1,11,12
0,0,0,0.333,0.333,0.333,276,70,1.13,52,5,6
0.25,0.25,0.25,0.25,0,0,123,169,1.06,52,14,16
0.25,0.25,0.25,0,0.25,0,96,149,1.02,15,15,22
0.25,0.25,0,0.25,0.25,0,69,129,0.98,219,14,19
0.25,0,0.25,0.25,0.25,0,72,129,1.08,46,11,13
0,0.25,0.25,0.25,0.25,0,71,126,1.05,235,12,20
0.25,0.25,0.25,0,0,0.25,105,166,0.97,35,13,17
0.25,0.25,0,0.25,0,0.25,96,166,0.86,224,12,21
0.25,0,0.25,0.25,0,0.25,73,138,1.04,60,10,11
0,0.25,0.25,0.25,0,0.25,108,162,1,27,15,19
0.25,0.25,0,0,0.25,0.25,86,158,0.83,197,18,21
0.25,0,0.25,0,0.25,0.25,72,133,1.03,38,14,18
0,0.25,0.25,0,0.25,0.25,89,149,0.93,216,14,20
0.25,0,0,0.25,0.25,0.25,42,114,0.89,213,12,12
0,0.25,0,0.25,0.25,0.25,55,114,1.01,233,10,15
0,0,0.25,0.25,0.25,0.25,51,120,0.97,238,12,13
0.2,0.2,0.2,0.2,0.2,0,99,153,1.01,11,15,18
0.2,0.2,0.2,0.2,0,0.2,109,166,0.96,22,12,16
0.2,0.2,0.2,0,0.2,0.2,98,162,0.94,1,14,21
0.2,0.2,0,0.2,0.2,0.2,72,143,0.88,200,16,21
0.2,0,0.2,0.2,0.2,0.2,75,143,0.97,17,11,12
0,0.2,0.2,0.2,0.2,0.2,83,143,0.98,224,13,23
0.167,0.167,0.167,0.167,0.167,0.167,101,162,0.91,227,15,23
1,0,0,0,0,0,198,157,0.975575441443917,189,19,18
0,1,0,0,0,0,192,84,1.3508010269013,178,20,25
0,0,1,0,0,0,166,123,1.04000630544822,203,19,5
0,0,0,1,0,0,144,7,1.29189867529464,205,14,18
0,0,0,0,1,0,88,2,0.974705620441101,133,19,6
0,0,0,0,0,1,102,18,1.2270745811143,187,18,10
0.5,0.5,0,0,0,0,223,171,1.06069011326896,155,21,24
0.5,0,0.5,0,0,0,199,150,1.01039683373859,191,19,10
0,0.5,0.5,0,0,0,188,116,1.13802797593774,176,18,22
0.5,0,0,0.5,0,0,161,148,0.850334931122146,145,20,14
0,0.5,0,0.5,0,0,205,93,1.3518604207393,194,19,24
0,0,0.5,0.5,0,0,163,139,0.912782533000923,168,19,18
0.5,0,0,0,0.5,0,185,130,1.01514679558228,140,20,24
0,0.5,0,0,0.5,0,115,19,1.26458869819601,152,14,14
0,0,0.5,0,0.5,0,151,118,0.934076431794567,139,20,14
0,0,0,0.5,0.5,0,81,28,1.18650638292965,149,14,6
0.5,0,0,0,0,0.5,174,156,0.878797972589126,170,21,10
0,0.5,0,0,0,0.5,213,94,1.41678691342888,200,20,26
0,0,0.5,0,0,0.5,171,128,1.02005250189985,188,19,18
0,0,0,0.5,0,0.5,118,14,1.28893460549828,208,18,14
0,0,0,0,0.5,0.5,111,4,1.10008492646388,138,14,18
0.333,0.333,0.333,0,0,0,222,164,1.09153976143718,167,19,25
0.333,0.333,0,0.333,0,0,190,140,1.00748445566034,158,19,14
0.333,0,0.333,0.333,0,0,173,139,0.960763718635896,169,20,18
0,0.333,0.333,0.333,0,0,201,124,1.16027555171043,179,19,22
0.333,0.333,0,0,0.333,0,155,83,1.1796842420917,144,18,18
0.333,0,0.333,0,0.333,0,197,161,0.924903302306591,150,19,18
0,0.333,0.333,0,0.333,0,149,76,1.16564735742934,151,14,14
0.333,0,0,0.333,0.333,0,119,103,0.84484114462693,134,19,10
0,0.333,0,0.333,0.333,0,146,9,1.31216411337097,165,14,14
0,0,0.333,0.333,0.333,0,120,107,0.834788659780413,136,19,14
0.333,0.333,0,0,0,0.333,220,171,1.00845689663209,162,19,22
0.333,0,0.333,0,0,0.333,187,146,0.984688011707386,180,19,14
0,0.333,0.333,0,0,0.333,213,135,1.18977820979162,188,19,18
0.333,0,0,0.333,0,0.333,154,130,0.908043902930134,163,19,22
0,0.333,0,0.333,0,0.333,196,93,1.31770633107793,196,18,25
0,0,0.333,0.333,0,0.333,176,129,1.03542344088605,182,18,18
0.333,0,0,0,0.333,0.333,194,154,0.944525367918216,154,20,18
0,0.333,0,0,0.333,0.333,159,2,1.32243611708652,164,14,24
0,0,0.333,0,0.333,0.333,162,132,0.94028794365477,163,19,14
0,0,0,0.333,0.333,0.333,80,23,1.1778657534151,173,10,10
0.25,0.25,0.25,0.25,0,0,207,148,1.06778241495105,171,18,22
0.25,0.25,0.25,0,0.25,0,193,121,1.10571205592423,148,20,22
0.25,0.25,0,0.25,0.25,0,144,82,1.09908097595925,143,14,18
0.25,0,0.25,0.25,0.25,0,158,147,0.831234362982992,137,19,18
0,0.25,0.25,0.25,0.25,0,148,82,1.12619405623448,153,19,24
0.25,0.25,0.25,0,0,0.25,220,168,1.04516309197912,175,19,14
0.25,0.25,0,0.25,0,0.25,203,160,0.964960025148597,161,19,22
0.25,0,0.25,0.25,0,0.25,172,152,0.89863075154618,174,19,22
0,0.25,0.25,0.25,0,0.25,216,154,1.10937735969351,184,20,24
0.25,0.25,0,0,0.25,0.25,202,141,1.04847813340484,142,21,25
0.25,0,0.25,0,0.25,0.25,204,163,0.940957638434705,159,20,22
0,0.25,0.25,0,0.25,0.25,189,102,1.19160037069108,166,19,18
0.25,0,0,0.25,0.25,0.25,126,125,0.784163442238522,135,19,14
0,0.25,0,0.25,0.25,0.25,157,70,1.31477580349665,177,18,24
0,0,0.25,0.25,0.25,0.25,145,116,0.899535387228409,156,19,10
0.2,0.2,0.2,0.2,0.2,0,169,126,0.991586187605168,141,19,22
0.2,0.2,0.2,0.2,0,0.2,211,173,0.933934700048325,172,19,18
0.2,0.2,0.2,0,0.2,0.2,215,155,1.06943441910604,157,19,22
0.2,0.2,0,0.2,0.2,0.2,165,111,1.04368419794708,146,19,24
0.2,0,0.2,0.2,0.2,0.2,170,165,0.794886765926057,152,19,14
0,0.2,0.2,0.2,0.2,0.2,183,110,1.12511412177859,160,19,26
0.167,0.167,0.167,0.167,0.167,0.167,179,145,0.941707523942642,147,19,24
1,0,0,0,0,0,266,51,0.736939118061755,230,6,3
0,1,0,0,0,0,94,57,1.16984069330904,15,14,5
0,0,1,0,0,0,280,67,1.04922101726706,47,3,3
0,0,0,1,0,0,143,55,1.4389158674478,125,14,5
0,0,0,0,1,0,107,24,1.01698257722442,183,20,2
0,0,0,0,0,1,272,69,1.10807323220207,30,3,5
0.5,0.5,0,0,0,0,63,5,0.754226231908235,215,14,4
0.5,0,0.5,0,0,0,273,65,0.971649447798019,48,3,3
0,0.5,0.5,0,0,0,60,48,1.02158663943514,7,6,5
0.5,0,0,0.5,0,0,24,12,0.680928616221562,203,10,5
0,0.5,0,0.5,0,0,153,29,1.2948600557805,86,10,5
0,0,0.5,0.5,0,0,31,63,1.05491561523588,33,10,2
0.5,0,0,0,0.5,0,34,17,0.739862524600847,186,14,2
0,0.5,0,0,0.5,0,112,35,1.1024392488103,208,10,6
0,0,0.5,0,0.5,0,49,45,0.96412601811546,211,10,3
0,0,0,0.5,0.5,0,117,46,1.21266136040627,54,18,2
0.5,0,0,0,0,0.5,263,59,0.746329999703915,223,3,3
0,0.5,0,0,0,0.5,72,46,1.06262868929149,21,6,5
0,0,0.5,0,0,0.5,275,68,1.01274070355523,39,3,3
0,0,0,0.5,0,0.5,74,52,1.18198559660819,111,6,5
0,0,0,0,0.5,0.5,44,62,1.05664430620391,209,10,3
0.333,0.333,0.333,0,0,0,29,41,0.87802061559013,12,6,4
0.333,0.333,0,0.333,0,0,92,8,0.891597203642691,239,10,4
0.333,0,0.333,0.333,0,0,22,40,0.833827479498978,240,10,2
0,0.333,0.333,0.333,0,0,103,26,1.04933835280926,26,10,4
0.333,0.333,0,0,0.333,0,47,20,0.824096842312878,190,14,4
0.333,0,0.333,0,0.333,0,28,54,0.93617761010595,236,10,2
0,0.333,0.333,0,0.333,0,59,56,1.03799842883997,220,10,3
0.333,0,0,0.333,0.333,0,37,16,0.746758539131361,185,14,3
0,0.333,0,0.333,0.333,0,142,38,1.24483866329054,43,18,5
0,0,0.333,0.333,0.333,0,36,60,0.973875915463223,209,6,3
